AX,AY,AZ,Activity
-1.01,-0.3,-0.19,Falling Forwards
-0.75,-0.34,-0.13,Falling Forwards
-0.77,-0.3,-0.08,Falling Forwards
-0.83,-0.24,-0.1,Falling Forwards
-0.94,-0.4,-0.26,Falling Forwards
-0.79,-0.37,-0.22,Falling Forwards
-0.45,-0.28,-0.07,Falling Forwards
-1.57,-0.2,1.65,Falling Forwards
-0.98,-0.7,0.56,Falling Forwards
0.46,-0.33,-0.07,Falling Forwards
0.13,-0.27,-0.27,Falling Forwards
0.28,-1.34,-0.24,Falling Forwards
-1.01,-3.09,0.64,Falling Forwards
-1.69,-0.89,1.13,Falling Forwards
-0.19,-1.0,-0.48,Falling Forwards
0.6,-0.31,-0.03,Falling Forwards
0.67,0.84,-0.3,Falling Forwards
1.79,1.26,-0.21,Falling Forwards
0.39,0.36,1.21,Falling Forwards
0.3,-0.23,0.46,Falling Forwards
0.22,-0.63,1.43,Falling Forwards
-0.2,-0.46,1.05,Falling Forwards
0.26,-0.27,0.88,Falling Forwards
0.2,-0.3,0.95,Falling Forwards
0.2,-0.3,0.94,Falling Forwards
0.19,-0.3,0.94,Falling Forwards
0.2,-0.3,0.94,Falling Forwards
0.2,-0.3,0.94,Falling Forwards
0.2,-0.3,0.94,Falling Forwards
0.2,-0.3,0.94,Falling Forwards
