AX,AY,AZ,Activity
-0.84,-0.9,0.21,Dropping
-0.69,-1.14,0.14,Dropping
-0.58,-1.29,0.26,Dropping
-1.01,-1.24,,Dropping
-1.43,-0.99,-0.44,Dropping
-0.7,-0.74,0.1,Dropping
-0.29,-0.35,1.08,Dropping
-0.42,-0.54,0.69,Dropping
-0.66,-0.8,0.26,Dropping
-0.36,-1.0,0.47,Dropping
-0.14,-1.1,0.46,Dropping
0.15,-0.75,0.38,Dropping
0.57,-0.4,0.96,Dropping
0.49,-0.33,1.29,Dropping
0.43,0.02,0.85,Dropping
,0.37,0.11,Dropping
-0.03,-0.03,-0.04,Dropping
-0.01,-0.07,0.01,Dropping
-0.01,-0.07,0.03,Dropping
-0.01,-0.06,0.04,Dropping
-0.01,-0.05,0.05,Dropping
-2.72,-3.87,0.29,Dropping
-2.27,-0.9,-0.68,Dropping
-2.69,-0.57,-0.79,Dropping
-2.69,-0.57,-0.79,Dropping
0.01,-0.58,0.67,Dropping
-0.32,-0.1,-0.74,Dropping
-0.37,0.04,-1.09,Dropping
