AX,AY,AZ,Activity
-0.66,-0.43,-0.24,Falling Forwards
-1.26,-0.5,-0.33,Falling Forwards
-1.68,-0.03,0.44,Falling Forwards
-1.02,-0.08,-0.27,Falling Forwards
-0.97,-0.4,-0.19,Falling Forwards
-0.83,-0.56,-0.23,Falling Forwards
-0.76,-0.56,-0.28,Falling Forwards
-0.58,-0.34,-0.28,Falling Forwards
-0.49,-0.35,-0.34,Falling Forwards
-0.58,-0.36,-0.3,Falling Forwards
-0.58,-0.31,-0.21,Falling Forwards
-0.49,-0.17,-0.08,Falling Forwards
-0.58,-0.55,0.05,Falling Forwards
-0.27,-0.58,0.08,Falling Forwards
-0.15,-0.15,0.3,Falling Forwards
-0.41,-1.94,-0.04,Falling Forwards
-0.11,-1.43,0.06,Falling Forwards
-0.47,-1.03,0.13,Falling Forwards
1.09,0.64,0.26,Falling Forwards
0.13,0.24,-0.55,Falling Forwards
