AX,AY,AZ,Activity
-0.75,-0.19,0.21,Falling Side
-1.23,-0.53,0.28,Falling Side
-0.67,-1.51,0.71,Falling Side
-0.01,-0.41,-0.34,Falling Side
0.09,-0.15,-0.18,Falling Side
-0.44,-0.8,0.61,Falling Side
-0.67,-0.4,0.16,Falling Side
-0.63,-0.37,0.25,Falling Side
-1.32,-0.23,0.1,Falling Side
-3.64,-0.63,0.44,Falling Side
-3.07,-0.16,-0.17,Falling Side
-1.13,-0.4,-0.25,Falling Side
-0.41,,-0.23,Falling Side
0.33,-0.04,-0.6,Falling Side
0.29,0.15,-0.38,Falling Side
2.56,-1.58,-1.98,Falling Side
1.32,0.24,-0.35,Falling Side
0.66,0.34,0.29,Falling Side
0.74,0.01,-0.23,Falling Side
0.91,,0.66,Falling Side
