AX,AY,AZ,Activity
-1.21,-0.14,0.21,Falling Side
-1.54,-0.64,0.43,Falling Side
-0.61,-0.94,0.29,Falling Side
-0.59,-0.51,0.08,Falling Side
-0.44,-0.42,-0.03,Falling Side
-0.52,-0.2,0.35,Falling Side
-0.52,-0.2,0.35,Falling Side
-0.61,-0.78,-0.48,Falling Side
-0.36,-0.66,-0.24,Falling Side
-0.79,-0.66,-0.41,Falling Side
-1.36,-0.56,-0.57,Falling Side
-2.6,-1.22,0.6,Falling Side
-2.54,0.16,0.21,Falling Side
-0.36,-0.65,1.17,Falling Side
-0.26,-0.21,1.15,Falling Side
-0.09,0.09,0.18,Falling Side
-0.09,0.09,0.18,Falling Side
-0.4,0.28,1.08,Falling Side
-0.74,0.11,0.75,Falling Side
-0.7,0.18,0.72,Falling Side
-0.76,-0.07,0.69,Falling Side
-0.56,-0.09,0.62,Falling Side
-0.61,0.03,0.6,Falling Side
-0.81,-0.06,0.74,Falling Side
-0.81,-0.06,0.74,Falling Side
-0.68,0.24,0.59,Falling Side
-0.52,-0.39,0.57,Falling Side
-1.03,-0.47,0.79,Falling Side
-0.72,0.09,0.53,Falling Side
-0.81,0.1,0.41,Falling Side
