AX,AY,AZ,Activity
-0.94,-0.14,0.26,Falling Side
-0.62,-0.01,0.31,Falling Side
-0.49,-0.63,0.12,Falling Side
-1.32,-1.29,0.16,Falling Side
0.16,-0.66,-0.3,Falling Side
0.26,-0.56,-0.07,Falling Side
-0.86,-0.59,-0.41,Falling Side
-1.93,-0.43,-0.51,Falling Side
-1.93,-0.43,-0.51,Falling Side
-1.16,-1.74,-0.3,Falling Side
0.73,-2.6,1.68,Falling Side
-0.52,-0.1,0.12,Falling Side
-0.52,-0.1,0.12,Falling Side
-0.25,0.23,0.23,Falling Side
-0.53,0.38,1.07,Falling Side
-0.74,-0.19,1.32,Falling Side
-0.62,-0.31,0.75,Falling Side
-0.36,-0.45,0.49,Falling Side
-0.38,-0.71,0.73,Falling Side
-0.55,-0.54,0.61,Falling Side
