AX,AY,AZ,Activity
-1.17,-0.22,0.1,Falling Backwards
-0.9,-0.13,0.02,Falling Backwards
-0.69,-0.17,0.05,Falling Backwards
-0.8,-0.29,-0.01,Falling Backwards
-0.76,-0.22,0.02,Falling Backwards
-0.89,-0.13,0.09,Falling Backwards
-0.77,-0.12,0.2,Falling Backwards
-0.17,-0.06,0.18,Falling Backwards
-0.17,-0.06,0.18,Falling Backwards
-0.94,-0.9,0.27,Falling Backwards
-0.09,-1.04,-0.09,Falling Backwards
0.06,-0.36,-0.09,Falling Backwards
-0.84,-0.01,-0.06,Falling Backwards
-2.27,-0.53,0.74,Falling Backwards
-2.76,-0.75,0.69,Falling Backwards
-1.86,-0.13,-0.02,Falling Backwards
-0.39,0.47,-0.24,Falling Backwards
0.33,0.42,0.08,Falling Backwards
0.32,0.22,0.06,Falling Backwards
0.45,1.47,0.33,Falling Backwards
0.15,-0.33,0.39,Falling Backwards
0.26,0.73,0.09,Falling Backwards
-0.49,-0.07,-2.24,Falling Backwards
0.17,0.22,-1.41,Falling Backwards
0.17,0.22,-1.41,Falling Backwards
