AX,AY,AZ,Activity
-0.13,-0.42,0.93,Dropping
0.44,-0.06,0.99,Dropping
-0.07,,1.26,Dropping
0.29,0.43,0.86,Dropping
-0.07,0.44,0.65,Dropping
0.38,0.22,0.86,Dropping
-0.02,0.39,0.7,Dropping
0.18,0.18,0.78,Dropping
0.02,0.1,0.02,Dropping
-0.05,0.01,,Dropping
-0.04,0.02,0.01,Dropping
-0.03,0.02,,Dropping
-0.03,0.02,-0.02,Dropping
-0.03,0.03,-0.1,Dropping
-1.45,-0.53,-0.92,Dropping
-1.03,-0.93,-0.07,Dropping
-0.95,-1.37,-0.1,Dropping
-1.04,-1.08,-0.08,Dropping
-1.0,0.22,-1.05,Dropping
0.03,-1.19,1.77,Dropping
-0.05,0.03,-0.45,Dropping
-0.48,-0.24,0.73,Dropping
0.01,0.03,0.67,Dropping
0.03,0.04,0.6,Dropping
0.01,,1.08,Dropping
