AX,AY,AZ,Activity
-0.91,-0.35,,Walking
-0.93,-0.37,0.01,Walking
-0.94,-0.33,-0.03,Walking
-0.91,-0.35,-0.04,Walking
-0.9,-0.37,-0.05,Walking
-0.92,-0.35,-0.03,Walking
-0.92,-0.34,-0.06,Walking
-0.92,-0.34,-0.05,Walking
-0.92,-0.34,-0.04,Walking
-0.93,-0.34,0.01,Walking
-0.93,-0.26,-0.06,Walking
-0.93,-0.24,-0.03,Walking
-0.91,-0.25,0.05,Walking
-0.96,-0.31,0.02,Walking
-0.91,-0.37,0.06,Walking
-1.05,-0.48,0.28,Walking
-0.73,-0.35,0.2,Walking
-0.66,-0.43,0.01,Walking
-0.9,-0.23,0.3,Walking
-0.66,-0.18,0.18,Walking
-1.12,-0.38,-0.08,Walking
-1.65,-0.61,0.31,Walking
-0.98,-0.39,-0.12,Walking
-0.86,-0.4,-0.06,Walking
-0.71,-0.39,-0.12,Walking
-0.57,-0.38,-0.16,Walking
-0.72,-0.5,-0.25,Walking
-0.9,-0.39,-0.13,Walking
-1.44,-0.29,-0.03,Walking
-1.24,-0.27,0.09,Walking
-1.15,-0.54,-0.15,Walking
-0.66,-0.51,-0.18,Walking
-0.22,-0.37,-0.17,Walking
-0.42,-0.29,-0.2,Walking
-1.0,-0.28,-0.22,Walking
-1.48,-0.03,0.53,Walking
-1.21,-0.1,0.26,Walking
-1.31,-0.45,-0.09,Walking
-1.03,-0.61,-0.3,Walking
-0.45,-0.45,-0.35,Walking
-0.33,-0.33,-0.23,Walking
-0.63,-0.27,-0.25,Walking
-0.63,-0.27,-0.25,Walking
-1.61,-0.29,-0.23,Walking
-1.62,0.03,0.57,Walking
-1.26,-0.12,0.06,Walking
-0.64,-0.39,0.05,Walking
-0.39,-0.5,-0.09,Walking
-0.53,-0.44,-0.16,Walking
-0.94,-0.24,-0.2,Walking
-1.38,-0.01,0.26,Walking
-1.35,-0.24,0.12,Walking
-1.21,-0.29,-0.1,Walking
-0.89,-0.28,-0.19,Walking
-0.54,-0.26,-0.12,Walking
-0.68,-0.22,-0.05,Walking
-1.06,-0.27,-0.33,Walking
-1.48,-0.43,-0.4,Walking
-0.97,-0.33,-0.21,Walking
-0.76,-0.34,-0.18,Walking
-0.69,-0.28,-0.16,Walking
-0.75,-0.33,-0.25,Walking
-0.62,-0.28,-0.25,Walking
-1.08,-0.61,-0.49,Walking
-1.42,-0.78,-0.63,Walking
-0.81,-0.37,-0.3,Walking
-0.51,-0.3,-0.17,Walking
-0.75,-0.47,-0.18,Walking
-1.04,-0.5,-0.25,Walking
-1.09,-0.36,-0.18,Walking
-1.37,-0.37,-0.17,Walking
-1.25,-0.2,0.54,Walking
-0.97,-0.51,0.06,Walking
-0.49,-0.6,-0.12,Walking
-0.23,-0.51,-0.16,Walking
-0.64,-0.48,-0.25,Walking
-1.09,-0.34,-0.36,Walking
-1.33,-0.13,-0.01,Walking
-1.26,-0.2,0.3,Walking
-1.41,-0.48,-0.1,Walking
-0.77,-0.3,-0.16,Walking
-0.34,-0.48,-0.31,Walking
-0.3,-0.58,-0.2,Walking
-0.8,-0.36,-0.24,Walking
-1.42,-0.34,-0.32,Walking
-1.32,-0.21,-0.15,Walking
-1.23,-0.11,-0.07,Walking
-0.9,0.02,0.07,Walking
-0.6,-0.26,0.06,Walking
-0.65,-0.44,-0.11,Walking
-0.86,-0.32,-0.13,Walking
-1.29,-0.19,-0.09,Walking
-1.33,-0.35,0.05,Walking
-1.03,-0.34,-0.08,Walking
-0.87,-0.41,-0.22,Walking
-0.39,-0.47,-0.23,Walking
-0.4,-0.42,-0.25,Walking
-0.9,-0.28,-0.27,Walking
-1.26,-0.19,-0.2,Walking
-1.75,-0.12,-0.05,Walking
-0.97,-0.06,0.57,Walking
-0.9,-0.28,0.01,Walking
-0.62,-0.45,-0.12,Walking
-0.57,-0.39,-0.14,Walking
-0.72,-0.25,-0.14,Walking
-1.16,-0.18,-0.17,Walking
-1.57,-0.23,0.08,Walking
-1.05,-0.22,-0.02,Walking
-1.0,-0.24,-0.17,Walking
-0.61,-0.42,-0.25,Walking
-0.55,-0.65,-0.32,Walking
-0.78,-0.51,-0.35,Walking
-1.4,-0.56,-0.48,Walking
-0.61,-0.07,0.29,Walking
-0.95,-0.34,0.12,Walking
-1.07,-0.37,0.08,Walking
-0.85,-0.29,-0.01,Walking
-0.86,-0.42,-0.18,Walking
-0.9,-0.41,-0.22,Walking
-0.92,-0.26,-0.16,Walking
-0.96,-0.25,-0.14,Walking
-0.94,-0.27,-0.12,Walking
-1.0,-0.27,-0.09,Walking
-0.94,-0.22,-0.05,Walking
-0.98,-0.21,-0.08,Walking
-1.0,-0.24,-0.09,Walking
-0.96,-0.27,-0.09,Walking
-0.9,-0.28,-0.08,Walking
-0.88,-0.27,-0.07,Walking
-0.92,-0.24,-0.06,Walking
