AX,AY,AZ,Activity
-0.06,-0.8,-0.18,Falling Forwards
0.06,-0.91,-0.17,Falling Forwards
-0.54,-0.92,0.24,Falling Forwards
-0.33,-0.78,0.45,Falling Forwards
-1.08,-3.6,0.5,Falling Forwards
0.83,-0.38,-1.9,Falling Forwards
0.26,-0.31,-1.31,Falling Forwards
-0.71,-0.65,,Falling Forwards
,-0.24,0.45,Falling Forwards
0.06,-0.23,,Falling Forwards
0.11,-0.53,0.3,Falling Forwards
-1.78,-0.09,2.95,Falling Forwards
-0.32,0.21,0.88,Falling Forwards
-0.01,-0.13,1.15,Falling Forwards
-0.43,0.09,0.74,Falling Forwards
-0.06,-0.06,1.09,Falling Forwards
-0.06,-0.04,1.0,Falling Forwards
-0.1,-0.04,0.96,Falling Forwards
