AX,AY,AZ,Activity
-1.36,-0.02,0.13,Falling Backwards
-0.85,-0.01,0.07,Falling Backwards
-0.76,-0.15,0.12,Falling Backwards
-0.87,-0.24,0.15,Falling Backwards
-0.75,-0.19,0.14,Falling Backwards
-0.47,-0.14,0.09,Falling Backwards
-0.12,-0.07,0.07,Falling Backwards
-0.97,-0.43,0.03,Falling Backwards
-0.99,-0.96,-0.28,Falling Backwards
-0.21,-0.2,0.22,Falling Backwards
-0.21,-0.2,0.22,Falling Backwards
-1.14,-0.3,-0.09,Falling Backwards
-2.4,-0.8,-0.09,Falling Backwards
-1.66,0.45,0.39,Falling Backwards
0.06,0.21,0.76,Falling Backwards
0.06,0.21,0.76,Falling Backwards
0.11,0.73,0.95,Falling Backwards
0.14,0.7,0.89,Falling Backwards
-0.15,0.71,0.96,Falling Backwards
0.17,0.37,0.85,Falling Backwards
-0.02,0.37,0.97,Falling Backwards
,0.37,0.93,Falling Backwards
-0.01,0.36,0.94,Falling Backwards
-0.01,0.36,0.94,Falling Backwards
-0.01,0.36,0.94,Falling Backwards
