AX,AY,AZ,Activity
0.48,-1.13,-0.06,Dropping
0.07,-1.18,0.18,Dropping
0.07,-0.96,0.26,Dropping
0.5,-1.06,-0.24,Dropping
0.81,-0.87,0.79,Dropping
0.49,-0.65,0.78,Dropping
-0.2,-0.41,0.79,Dropping
-0.29,-0.12,0.53,Dropping
0.96,-1.07,0.3,Dropping
-0.32,-0.31,1.75,Dropping
0.63,-0.13,0.78,Dropping
0.23,0.49,0.43,Dropping
-0.15,0.35,0.36,Dropping
-0.02,-0.05,0.08,Dropping
0.01,-0.06,0.01,Dropping
0.01,-0.06,0.02,Dropping
0.01,-0.05,0.03,Dropping
0.01,-0.05,0.05,Dropping
0.01,-0.04,0.07,Dropping
0.01,-0.03,0.09,Dropping
-4.73,-3.36,,Dropping
-2.09,0.88,-0.32,Dropping
-0.02,-0.06,,Dropping
-0.05,-0.06,-0.01,Dropping
-0.06,-0.08,-0.01,Dropping
0.55,1.18,-0.31,Dropping
0.09,-0.44,-0.03,Dropping
1.68,-0.75,-0.17,Dropping
-0.57,0.74,0.4,Dropping
-0.26,-1.38,-1.17,Dropping
