AX,AY,AZ,Activity
0.36,-1.01,-0.01,Dropping
0.15,-0.74,0.24,Dropping
0.47,-1.06,-0.15,Dropping
1.24,-1.0,0.68,Dropping
0.53,-0.79,0.71,Dropping
-0.23,-0.66,0.38,Dropping
0.09,-0.59,0.55,Dropping
0.05,-0.41,1.35,Dropping
0.63,-0.46,0.89,Dropping
0.48,0.22,0.55,Dropping
0.29,0.23,0.36,Dropping
-0.38,0.51,1.02,Dropping
0.18,0.63,0.57,Dropping
0.07,0.13,0.32,Dropping
-0.12,-0.03,-0.03,Dropping
-0.11,-0.01,-0.02,Dropping
-0.1,0.01,-0.02,Dropping
-0.1,0.03,-0.02,Dropping
-0.1,0.03,-0.03,Dropping
-0.09,0.08,-0.04,Dropping
-0.49,0.33,0.12,Dropping
-0.34,-0.18,-0.04,Dropping
-0.75,-0.55,-0.05,Dropping
-0.73,-1.02,-0.06,Dropping
-0.67,-1.11,-0.07,Dropping
0.59,-2.83,-0.7,Dropping
-0.85,0.04,0.58,Dropping
-0.15,-0.13,-0.02,Dropping
-0.52,0.18,-0.99,Dropping
-0.79,0.21,-0.72,Dropping
