AX,AY,AZ,Activity
0.1,-0.87,-0.16,Walking
0.37,-1.07,-0.14,Walking
0.39,-1.18,-0.23,Walking
0.36,-1.11,-0.09,Walking
,-1.49,-0.16,Walking
0.24,-0.89,0.16,Walking
0.15,-0.55,-0.15,Walking
-0.06,-0.58,-0.04,Walking
,-0.69,-0.49,Walking
0.27,-1.36,-0.98,Walking
-0.12,-1.14,-0.49,Walking
0.21,-0.67,0.11,Walking
0.51,-1.35,-0.08,Walking
-0.4,-0.69,-0.11,Walking
0.39,-0.83,-0.03,Walking
0.3,-0.83,-0.17,Walking
0.13,-0.94,-0.26,Walking
0.51,-1.03,-0.04,Walking
0.08,-1.2,-0.2,Walking
-0.1,-1.72,-0.06,Walking
-0.1,-0.97,0.22,Walking
0.13,-0.51,-0.2,Walking
-0.04,-0.6,-0.1,Walking
-0.04,-0.6,-0.1,Walking
0.08,-1.29,-0.36,Walking
0.18,-1.3,0.07,Walking
-0.24,-0.79,0.04,Walking
0.31,-1.19,-0.07,Walking
0.03,-0.94,-0.03,Walking
0.45,-0.96,-0.03,Walking
0.2,-0.91,-0.23,Walking
0.32,-0.88,-0.23,Walking
-0.01,-0.92,-0.15,Walking
-0.03,-1.24,-0.27,Walking
0.15,-0.9,-0.35,Walking
0.11,-0.74,-0.41,Walking
-0.07,-0.78,-0.46,Walking
-0.01,-0.77,-0.44,Walking
0.04,-0.74,-0.55,Walking
0.04,-0.77,-0.59,Walking
-0.07,-0.88,-0.74,Walking
-0.3,-1.21,-0.63,Walking
-0.15,-0.69,-0.13,Walking
0.41,-1.2,-0.27,Walking
-0.01,-0.83,-0.17,Walking
0.18,-0.86,-0.14,Walking
0.12,-0.83,-0.2,Walking
0.19,-0.86,-0.12,Walking
0.13,-0.94,-0.18,Walking
0.35,-1.14,-0.03,Walking
0.31,-1.31,-0.25,Walking
0.01,-1.16,-0.01,Walking
-0.15,-1.45,0.04,Walking
0.17,-0.66,,Walking
0.06,-0.59,-0.09,Walking
-0.02,-0.55,-0.22,Walking
0.03,-0.79,-0.59,Walking
0.07,-1.29,-1.01,Walking
-0.03,-1.25,-0.17,Walking
-0.19,-0.64,-0.09,Walking
0.65,-1.33,0.01,Walking
-0.23,-0.75,-0.26,Walking
0.27,-0.79,-0.02,Walking
0.24,-0.84,-0.19,Walking
0.16,-0.93,-0.21,Walking
0.33,-1.09,-0.08,Walking
