AX,AY,AZ,Activity
-0.67,-0.23,0.29,Falling Backwards
-0.64,-0.19,0.27,Falling Backwards
-0.27,-0.06,0.08,Falling Backwards
0.03,,0.04,Falling Backwards
-1.02,-0.45,1.46,Falling Backwards
-0.7,-0.73,-0.49,Falling Backwards
-0.7,-0.73,-0.49,Falling Backwards
-1.6,-0.33,1.47,Falling Backwards
-1.14,-0.01,-0.05,Falling Backwards
-3.55,0.92,1.0,Falling Backwards
-0.11,-0.52,0.21,Falling Backwards
1.39,-0.25,1.17,Falling Backwards
0.8,0.6,0.95,Falling Backwards
0.16,0.71,0.58,Falling Backwards
0.13,0.62,0.75,Falling Backwards
