AX,AY,AZ,Activity
-0.92,-0.35,-0.04,Walking
-0.92,-0.35,-0.04,Walking
-0.92,-0.35,-0.05,Walking
-0.92,-0.35,-0.05,Walking
-0.92,-0.35,-0.04,Walking
-0.92,-0.35,-0.04,Walking
-0.92,-0.35,-0.04,Walking
-0.93,-0.34,-0.03,Walking
-0.93,-0.31,0.02,Walking
-0.92,-0.31,0.01,Walking
-0.95,-0.31,0.01,Walking
-0.92,-0.31,-0.04,Walking
-0.89,-0.33,-0.04,Walking
-0.92,-0.36,0.11,Walking
-1.01,-0.35,0.14,Walking
-0.92,-0.35,,Walking
-0.89,-0.41,0.17,Walking
-0.86,-0.4,0.18,Walking
-0.87,-0.4,0.05,Walking
-0.83,-0.34,0.19,Walking
-0.78,-0.46,0.31,Walking
-0.96,-0.34,0.5,Walking
-0.86,-0.32,0.37,Walking
-0.81,-0.22,0.31,Walking
-0.85,-0.22,0.49,Walking
-1.21,-0.62,0.02,Walking
-0.75,-0.36,-0.08,Walking
-0.83,-0.22,0.11,Walking
-0.85,-0.26,-0.01,Walking
-0.92,-0.24,0.04,Walking
-0.88,-0.24,0.07,Walking
-1.01,-0.34,-0.05,Walking
-1.23,-0.08,0.12,Walking
-1.31,-0.21,-0.15,Walking
-0.99,-0.71,-0.07,Walking
-0.91,-0.5,0.19,Walking
-0.64,-0.09,-0.09,Walking
-0.61,-0.29,-0.1,Walking
-0.71,-0.26,0.14,Walking
-1.2,-0.42,1.05,Walking
-0.82,-0.42,0.49,Walking
-0.95,-0.51,-0.39,Walking
-0.99,-0.56,-0.25,Walking
-1.24,-0.35,0.11,Walking
-0.75,-0.15,0.11,Walking
-0.68,-0.2,0.08,Walking
-0.73,-0.25,-0.01,Walking
-1.05,-0.17,-0.03,Walking
-1.48,0.08,0.19,Walking
-1.06,-0.35,0.14,Walking
-1.33,-0.73,-0.07,Walking
-0.78,-0.5,0.02,Walking
-0.58,-0.11,-0.06,Walking
-0.79,-0.05,-0.23,Walking
-0.74,-0.17,-0.03,Walking
-1.15,-0.33,1.05,Walking
-1.06,-0.44,0.54,Walking
-1.0,-0.6,-0.43,Walking
-1.04,-0.43,-0.5,Walking
-0.85,-0.27,-0.17,Walking
-0.78,-0.32,0.35,Walking
-0.84,-0.23,0.14,Walking
-0.9,-0.19,-0.02,Walking
-1.03,-0.14,-0.12,Walking
-0.97,-0.11,-0.06,Walking
-1.35,-0.56,0.22,Walking
-1.0,-1.05,-0.07,Walking
-0.56,-0.58,-0.23,Walking
-0.69,-0.27,-0.03,Walking
-0.89,-0.4,-0.04,Walking
-0.98,-0.28,-0.03,Walking
-0.99,-0.19,0.01,Walking
-0.92,-0.5,-0.05,Walking
-0.81,-0.4,-0.15,Walking
-1.03,-0.35,-0.19,Walking
-0.92,-0.34,-0.18,Walking
-0.9,-0.37,-0.27,Walking
-0.75,-0.38,-0.24,Walking
-0.51,-0.38,-0.23,Walking
-1.28,-0.53,-0.42,Walking
-1.01,-0.44,-0.21,Walking
-0.8,-0.27,0.35,Walking
-0.77,-0.32,0.04,Walking
-0.86,-0.3,,Walking
-0.97,-0.28,-0.04,Walking
-1.04,-0.27,0.12,Walking
-1.34,-0.33,0.08,Walking
-1.13,-0.4,0.02,Walking
-1.12,-0.42,-0.11,Walking
-0.99,-0.55,-0.26,Walking
-0.51,-0.5,-0.25,Walking
-0.12,-0.43,-0.19,Walking
-0.47,-0.27,-0.12,Walking
-1.32,-0.38,-0.22,Walking
-1.63,-0.19,-0.08,Walking
-1.16,-0.05,0.14,Walking
-1.22,-0.33,-0.14,Walking
-0.54,-0.38,-0.13,Walking
-0.31,-0.35,-0.12,Walking
-0.54,-0.33,-0.15,Walking
-1.16,-0.3,-0.22,Walking
-1.66,-0.37,0.34,Walking
-1.08,-0.3,-0.16,Walking
-1.17,-0.33,-0.21,Walking
-0.75,-0.34,-0.18,Walking
-0.75,-0.34,-0.18,Walking
-0.29,-0.36,-0.14,Walking
-0.7,-0.46,-0.41,Walking
-1.37,-0.36,-0.41,Walking
-1.41,-0.27,-0.25,Walking
-1.63,-0.28,0.63,Walking
-0.93,-0.4,0.18,Walking
-0.27,-0.44,-0.01,Walking
-0.26,-0.47,-0.09,Walking
-0.75,-0.35,-0.16,Walking
-1.32,-0.28,-0.29,Walking
-1.52,-0.13,-0.02,Walking
-1.18,-0.13,0.02,Walking
-1.1,-0.22,-0.09,Walking
-0.72,-0.27,-0.04,Walking
-0.53,-0.34,-0.17,Walking
-0.3,-0.45,-0.22,Walking
-0.8,-0.37,-0.3,Walking
-1.29,-0.25,-0.29,Walking
-1.67,-0.43,-0.23,Walking
-0.97,-0.54,-0.03,Walking
-0.49,-0.35,0.03,Walking
-0.88,-0.36,-0.05,Walking
-1.07,-0.26,-0.07,Walking
-0.9,-0.25,-0.13,Walking
-0.92,-0.26,-0.19,Walking
-0.94,-0.29,-0.23,Walking
-0.87,-0.28,-0.21,Walking
-0.92,-0.26,-0.23,Walking
-0.95,-0.22,-0.18,Walking
-0.95,-0.22,-0.14,Walking
-0.94,-0.28,-0.14,Walking
-0.94,-0.29,-0.11,Walking
-0.93,-0.27,-0.08,Walking
-0.97,-0.25,-0.08,Walking
