AX,AY,AZ,Activity
-0.86,-0.46,-0.15,Walking
-0.85,-0.45,-0.15,Walking
-0.87,-0.46,-0.14,Walking
-0.86,-0.46,-0.13,Walking
-0.85,-0.46,-0.15,Walking
-0.85,-0.45,-0.16,Walking
-0.85,-0.45,-0.16,Walking
-0.85,-0.46,-0.15,Walking
-0.87,-0.47,-0.13,Walking
-0.87,-0.46,-0.1,Walking
-0.88,-0.47,-0.04,Walking
-0.86,-0.44,,Walking
-0.74,-0.43,-0.07,Walking
-1.04,-0.41,-0.23,Walking
-0.87,-0.29,-0.23,Walking
-0.73,-0.36,-0.21,Walking
-0.98,-0.43,-0.15,Walking
-0.96,-0.31,0.35,Walking
-0.8,-0.43,-0.04,Walking
-0.92,-0.46,-0.1,Walking
-0.97,-0.6,-0.05,Walking
-1.18,-0.6,-0.13,Walking
-1.07,-0.5,-0.19,Walking
-0.7,-0.51,-0.19,Walking
-0.49,-0.39,-0.22,Walking
-0.55,-0.39,-0.22,Walking
-0.72,-0.36,-0.16,Walking
-1.29,-0.21,0.53,Walking
-1.33,-0.73,-0.22,Walking
-1.02,-0.72,-0.3,Walking
-0.66,-0.68,-0.21,Walking
-0.42,-0.44,-0.15,Walking
-0.53,-0.4,-0.16,Walking
-0.91,-0.4,-0.25,Walking
-1.02,-0.35,-0.14,Walking
-1.0,-0.26,-0.04,Walking
-1.23,-0.37,,Walking
-0.91,-0.34,0.04,Walking
-1.18,-0.64,-0.16,Walking
-0.93,-0.55,-0.18,Walking
-0.39,-0.63,-0.4,Walking
-0.47,-0.43,-0.42,Walking
-0.72,-0.37,-0.2,Walking
-0.84,-0.32,-0.07,Walking
-1.26,-0.33,1.08,Walking
-1.32,-0.59,-0.14,Walking
-1.05,-0.74,-0.34,Walking
-0.49,-0.65,-0.53,Walking
-0.54,-0.43,-0.32,Walking
-0.75,-0.32,-0.05,Walking
-0.84,-0.37,0.01,Walking
-0.96,-0.39,-0.01,Walking
-1.07,-0.41,0.24,Walking
-1.36,-0.38,0.17,Walking
-1.1,-0.5,-0.21,Walking
-0.86,-0.62,-0.29,Walking
-0.53,-0.34,-0.06,Walking
-0.54,-0.25,-0.01,Walking
-0.9,-0.32,-0.12,Walking
-1.0,-0.35,-0.09,Walking
-1.08,-0.43,0.2,Walking
-0.8,-0.49,0.28,Walking
-0.93,-0.6,0.06,Walking
-0.87,-0.46,-0.19,Walking
-0.82,-0.28,-0.24,Walking
-0.94,-0.29,-0.21,Walking
-1.03,-0.29,-0.22,Walking
-0.95,-0.34,-0.16,Walking
-0.85,-0.4,-0.1,Walking
-0.84,-0.48,-0.07,Walking
-0.92,-0.45,0.06,Walking
-0.98,-0.39,-0.08,Walking
-0.76,-0.46,-0.06,Walking
-0.73,-0.56,-0.1,Walking
-0.77,-0.63,-0.21,Walking
-0.99,-0.56,-0.28,Walking
-0.97,-0.38,-0.14,Walking
-0.93,-0.35,-0.03,Walking
-0.9,-0.38,-0.04,Walking
