
-.06, .39, .97, .1, .13, .18
-.06, .39, .97, .1, .13, .18
-.05, .4, .96, .25, .41, .26
-.15, .62, .86, .59, 1.95, 1.16
-.3, .64, .86, .47, 1.86, 1.82
-.19, .37, .87, -.38, .36, 1.13
-.24, .36, .94, .34, 1.92, 1.68
-.26, .43, .85, .69, 3.83, 2.35
-.24, .46, 1.01, 1.02, 1.8, 1.29
-.48, .62, .69, 1.35, 1.21, 1.13
-.25, .76, .53, .97, -.22, .17
-.2, .65, .31, .19, 1.46, -.54
-.02, .54, .23, -.85, .61, -1.99
-.48, .55, .41, -.99, -1.01, -1.16
-.53, .58, .28, -2.36, -.25, -1.46
-.74, -.03, 1.22, -1.49, -.17, -1.2
-.65, .04, .82, -.67, -.12, -1.27
-.59, .29, .25, -1.62, .19, -2.82
-1.08, -.21, .61, -2.53, .41, -1.92
-.98, -.61, .82, -2.83, 1.91, -1.53
-.91, -.86, .59, -2.92, 1.01, -2.06
-.98, -.74, .28, -2.28, 2.9, -3.05
-1.34, -.69, -.03, -2.84, 3.06, -2.88
-.98, -.31, .4, -1.23, -.37, -.79
-.55, -.13, .46, 1.23, .31, -.41
-.17, -.41, .26, 1.97, -.52, -1.17
-.64, -.6, -.07, .62, .31, .21
-.74, -.91, .07, -.04, -1.63, 1.44
-1.04, -1.43, -.13, .55, -.8, 2.11
-.5, -1.26, -.29, -1.37, .31, 1.47
-.05, -1.22, -.13, -2.97, -2.87, .16
-.63, -.87, .25, -1.89, -2.69, .06
-.62, -.68, .45, .27, .87, .67
-.66, -.74, .03, .71, 2.13, 1.91
-.71, -.68, -.15, .22, 1.38, 1.8
-.76, -.53, -.24, -.08, -.43, -.16
-.85, -.42, -.3, -1.05, -.19, .03
-.81, -.48, -.24, -1.57, .05, .19
-.86, -.55, -.16, -1.11, -.16, .11
-.93, -.47, -.03, -.12, -.43, .01
-.84, -.43, -.12, .28, .13, .27
-.77, -.51, -.37, -.27, -.87, .1
-.92, -.42, -.18, -.05, -.44, .13
-.9, -.42, , .29, .05, .09
-.83, -.41, -.2, -.09, -.04, .03
-.88, -.42, -.12, -.14, , -.02
-.88, -.43, -.09, .07, .02, -.02
-.86, -.41, -.13, .09, .31, .03
-.87, -.42, -.12, .26, .55, .11
-.89, -.4, -.15, .59, .32, .23
-.88, -.43, -.18, .6, .13, .16
