AX,AY,AZ,GX,GY,GZ
, -.97, -.11, -.08, -.01, -.02
0.01, -.97, -.13, .02, -.09, -.02
-0.01, -.99, -.07, .11, -.1, -.02
-0.03, -.98, -.09, .03, .03, .01
0.02, -.98, -.09, , .02, 
0.03, -.98, -.08, .03, -.02, -.01
, -.98, -.08, .02, .01, 
, -.98, -.08, .01, .02, .01
0.01, -.98, -.08, , .01, 
0.01, -.98, -.08, .01, -.01, 
0.01, -.98, -.08, .01, -.01, 
, -.98, -.07, .01, , 
0.01, -.98, -.07, , , 
0.01, -.98, -.07, .01, -.01, 
, -.98, -.07, .02, , 
0.01, -.98, -.06, .04, -.01, 
, -.98, -.08, , .01, 
0.01, -.98, -.08, -.01, -.01, -.01
0.01, -.98, -.07, , -.02, -.01
, -.98, -.07, , -.01, 
0.01, -.98, -.07, , -.02, -.01
, -.98, -.07, -.01, -.01, -.01
, -.98, -.07, -.01, , -.01
0.01, -.98, -.07, , , -.01
0.01, -.98, -.08, -.01, -.01, -.01
0.01, -.98, -.07, -.01, -.02, -.01
0.01, -.98, -.08, -.01, -.03, -.01
0.01, -.98, -.07, -.01, -.02, -.01
0.01, -.98, -.07, -.01, -.01, -.01
0.01, -.98, -.07, -.01, .01, -.01
0.01, -.98, -.07, -.02, , 
0.02, -.98, -.07, -.01, .01, -.01
0.02, -.98, -.07, , -.01, -.01
0.02, -.98, -.08, -.01, , -.01
0.02, -.98, -.07, -.02, .03, -.01
0.01, -.98, -.07, , .02, 
0.03, -.98, -.08, .02, , 
0.01, -.98, -.09, -.01, .02, 
0.03, -.98, -.08, , , -.01
0.02, -.98, -.07, , -.01, -.01
0.01, -.98, -.07, .02, .02, 
0.02, -.98, -.07, , , 
0.02, -.98, -.08, -.05, -.04, -.01
0.02, -.98, -.08, -.04, -.03, 
0.02, -.98, -.07, .01, , .01
0.02, -.98, -.07, , -.05, 
0.02, -.98, -.09, .02, -.05, 
0.01, -.98, -.09, .04, -.06, 
0.03, -.98, -.07, .03, -.07, -.01
0.02, -.98, -.08, , -.04, -.01
0.02, -.98, -.06, .02, -.05, 
0.01, -.98, -.06, -.08, -.14, -.02
-0.04, -.99, -.19, -.45, -.11, -.12
-0.03, -.92, -.21, .09, -.36, -.09
-0.03, -.93, -.11, .01, -.2, .11
0.04, -1.02, -.08, .14, .13, -.27
0.21, -.96, -.17, .26, .15, -.24
0.14, -.93, -.15, .46, -.12, -.01
0.13, -.91, -.17, .44, -.16, .05
0.04, -.94, -.18, .46, .27, .09
0.05, -.95, -.1, .58, .65, .01
0.18, -.99, -.06, .49, .65, .01
0.29, -1.25, -.23, .03, .29, .04
0.18, -1.33, -.21, -1.34, .09, .07
0.02, -1.05, -.08, -2.21, 1.47, -.24
-0.17, -1.22, .16, -1.72, -1.41, -.22
0.04, -.7, -.03, -1.38, -1.43, .07
0.04, -.75, -.25, -.46, -.22, -.24
0.04, -.64, -.31, .06, -.02, -.18
, -.6, -.44, .29, -.54, -.32
0.06, -1.15, -.71, -.77, -.58, -.19
-0.21, -.87, -.6, .18, -.77, .09
, -1.43, -.39, .56, .92, .25
-0.37, -.66, .12, 2.11, 1.41, .53
0.55, -1.23, -.11, 1.18, .87, -.61
-0.22, -.71, -.04, 1.03, .56, .11
0.3, -.9, -.15, .75, -.37, .02
0.14, -.87, -.23, .92, -.01, .21
0.01, -.93, -.1, .37, .35, .38
0.11, -1.19, -.14, -.19, .71, .17
0.34, -1.25, -.1, -1.76, -.53, -.16
-0.12, -1.22, -.12, -2.63, 1.27, -.36
-0.08, -1.29, .2, -1.47, -2.32, -.18
0.13, -.66, -.13, -1.29, -1.71, -.18
-0.07, -.56, -.03, .3, -.41, -.33
-0.11, -.61, -.27, 1.03, .55, -.34
0.02, -1.03, -.77, -.61, -.4, -.22
-0.03, -1.18, -.85, -.44, -.55, .39
-0.05, -1.14, .18, .71, -.43, .17
0.22, -1.1, .07, 1.71, 1.28, -.55
-0.21, -.9, -.16, 1.36, .88, -.09
0.07, -.77, -.15, .99, .28, .17
0.24, -.83, -.22, .69, -.04, .26
0.04, -.92, -.28, .14, .59, .25
0.29, -1.11, -.03, -.67, -.14, .01
-0.08, -1.22, -.34, -2.4, .97, .08
-0.29, -1.27, -.08, -1.77, .61, -.31
-0.07, -1.21, .13, -1, -1.46, -.22
0.13, -.56, -.1, .52, -1, -.18
-0.03, -.72, -.09, 1.85, -.25, -.43
, -.93, -.61, -.72, -1.22, .11
-0.21, -.92, -.2, .18, -1.01, .49
-0.07, -1.5, -.47, .82, .33, -1.05
, -1.03, .32, .93, .92, -1.47
-0.07, -1.09, -.08, .54, .94, -.31
0.18, -1.03, , .7, .29, -.3
0.5, -1.17, -.06, 1.12, .59, -1.04
0.09, -.92, .02, 1.71, .55, .06
0.27, -.97, .12, 2.18, -.02, .46
0.05, -.78, .44, 3.38, 1.62, .7
0.16, -.91, .26, 2.87, 1.69, .8
0.31, -.95, .47, 2, 3.58, .13
0.87, -.85, .74, .96, .33, -4.05
0.45, -.95, .89, 1.56, .79, -5.93
-0.06, -.73, .86, 1.48, -.17, -5.39
-0.05, -.61, .81, .84, 1.57, -5.61
0.03, -.23, .81, 1.12, 2.29, -5.91
0.22, -.45, .94, .6, -.05, -5.69
0.28, -.45, .82, 1.29, .58, -3.05
0.06, -.05, 1.01, 3.77, 3.53, -2.27
-0.22, .39, .54, -.22, -.62, -1.52
-0.28, .56, .53, -1.74, -1.63, .43
-0.01, .48, .96, .43, -1.58, -.12
0.06, .17, .33, -.18, -2.05, -1.16
0.02, .01, .01, -.32, -1.84, -1.15
0.02, .01, .01, -.47, -1.69, -1.12
0.02, .01, .01, -.65, -1.47, -1.07
0.02, .01, .02, -.83, -1.17, -1.01
0.02, .01, .03, -1, -.73, -.95
0.02, , .04, -2.72, .45, .67
-1.41, -.96, -.53, 4.06, -6.27, -1.89
-0.12, -.06, -.45, -.39, 1.56, -.62
-0.01, .21, -.39, -4.83, 7.43, .17
-0.67, -.45, .58, .31, -.23, .76
0.02, .07, -.23, -1.13, -.32, .44
0.32, -.02, 1.06, -.19, -.4, -.21
-0.06, -.01, 1.23, , .02, 
0.03, , 1, , , 
0.02, , 1, -.01, , 
0.02, , 1, , , 
0.02, , 1, , , 
0.02, , 1, -.01, , 
0.02, , 1, -.01, , 
0.02, , 1, , , 
0.02, , 1, , , 
0.02, , 1, , , 
0.02, , 1, , , 
0.02, , 1, -.01, , 
0.02, , 1, , , 
0.02, , 1, , , 
0.02, , 1, , , 
0.02, , 1, , , 
0.02, , 1, , , 
0.02, , 1, , , 
0.02, , 1, -.01, , 
0.02, , 1, , , 
0.02, , 1, -.01, , 
0.02, , 1, -.01, , 
0.02, , 1, -.01, , 
0.02, , 1, -.01, , 
0.02, , 1, , , 
0.02, , 1, , , 
0.02, , 1, , , 
0.02, , 1, , , 
0.02, , 1, , , 
0.02, , 1, -.01, , 
0.02, , 1, , , 
0.02, , 1, -.01, , 
0.02, , 1, , , 
0.02, , 1, -.01, , 
0.02, , 1, -.01, , 
0.02, , 1, -.01, , 
0.02, , 1, , , 
0.02, , 1, -.01, , 
0.02, , 1, -.01, , 
0.02, , 1, , , 
0.02, , 1, , , 
0.02, , 1, , , 
0.02, , 1, , , 
0.02, , 1, -.01, , 
0.02, , 1, -.01, , 
0.02, , 1, -.01, , 
0.02, , 1, -.01, , 
0.02, , 1, -.01, , 
0.02, , 1, , , 
0.02, , 1, , , 
0.02, , 1, -.01, , 
0.02, , 1, -.01, , 
0.02, , 1, , , 
0.02, , 1, -.01, , 
0.02, , 1, , , 
0.02, , 1, , , 
0.02, , 1, -.01, , 
0.02, , 1, -.01, , 
0.02, , 1, -.01, , 
0.02, , 1, -.01, , 
0.02, , 1, , , 
0.02, , 1, , , 
0.02, , 1, -.01, , 
0.02, , 1, -.01, , 
0.02, , 1, -.01, , 
0.02, , 1, -.01, , 
0.02, , 1.01, , , 
0.02, , 1, , , 
0.02, , 1, , , 
0.02, , 1, , , 
0.02, , 1, -.01, , 
0.02, , 1, -.01, , 
0.02, , 1, -.01, , 
0.02, , 1.01, -.01, .01, 
0.03, , .98, -.07, .13, 
