AX,AY,AZ,GX,GY,GZ
0.05, .06, .63, -3.1, -2.84, 2.06
0.36, -.12, .64, -2.19, -1.22, 2.05
0.32, -.11, .56, -.67, -.73, 2.66
0.31, -.87, .87, -1.22, 1.82, 2.4
0.03, -.42, 1.7, -.46, 2.05, .95
-0.12, -.16, 1.78, 1.24, -1.01, .66
0.32, -.07, 1, .85, -1.86, .62
0.36, -.28, .85, .72, -3.78, .93
0.24, -.16, .6, -.29, -4.42, 2.24
0.28, -.16, 1.13, .92, -3.4, 3
0.73, -.04, .92, 1.67, -2.06, 2.46
0.82, -.21, .52, 1.3, -3.5, 1.84
0.73, -.55, .09, .43, -3.05, 2.23
0.83, -.72, .09, -.93, -1.47, 3.19
0.71, -.57, .2, -.73, -1.05, 2.95
0.6, -.48, -.21, -.24, 1.21, 1.15
0.42, -1.28, .2, , .47, -.01
0.48, -1.1, -.02, -.9, -.09, .48
0.45, -.96, .12, .13, .01, -.03
0.42, -.91, -.01, -.72, -.04, -.29
0.3, -.45, .02, -.35, -.77, .84
0.2, -.21, .05, .07, -1.3, 1.68
-0.27, -.91, -.11, -.44, -2.42, 3.87
0.66, -2.48, -.33, .53, -.63, -.15
-0.06, -.82, -.23, -.1, , 
-0.03, -1.02, , .04, -.27, -.03
-0.04, -.98, -.08, .01, .04, 
-0.04, -.97, -.09, .02, .07, .01
-0.01, -.98, -.09, -.03, , .01
0.02, -.98, -.11, -.05, .05, 
0.02, -.98, -.09, .06, -.13, -.02
0.01, -.97, -.08, .02, -.15, -.02
-0.01, -.99, -.08, -.01, -.04, 
-0.01, -.98, -.06, .01, -.03, 
, -.98, -.07, , -.05, 
, -.98, -.09, -.01, -.07, -.01
-0.01, -.98, -.08, , -.07, -.01
-0.02, -.98, -.08, -.01, -.04, -.01
-0.02, -.98, -.08, -.01, .02, 
-0.01, -.98, -.08, -.01, .05, .01
, -.98, -.08, -.01, .06, 
, -.98, -.09, -.02, .06, .01
0.01, -.98, -.09, -.02, .06, 
, -.98, -.08, -.01, .05, .01
0.01, -.98, -.08, , .04, .01
, -.98, -.09, -.02, .04, .01
, -.98, -.09, -.05, .03, 
, -.98, -.12, -.06, .02, 
0.01, -.97, -.08, .04, -.07, -.01
-0.02, -.98, -.1, -.01, -.02, 
