AX,AY,AZ,GX,GY,GZ
0.15,0.41,0.81, -.58, -.43, .41
0.16,0.36,0.75, -.76, -.82, .42
0.19,0.33,0.73, -.58, -1.86, .62
0.42,0.31,0.66, -1.09, -.76, .52
0.56,0.23,0.8, -1.05, -.25, .16
0.37,0.08,0.8, -.73, -1.19, .5
0.28,0.13,0.76, .74, -2.82, 2.34
0.43,-0.13,0.47, .49, -3.41, 3.18
0.56,-0.39,0.62, .62, -3.26, 3.62
1.23,-0.55,0.94, 1.94, -1.29, 3.61
1.69,-0.35,0.65, 2.06, -.62, 1.75
1.54,-0.27,0.32, 1.9, .7, .42
1.17,-0.19,0.15, .7, -.97, .06
0.89,-0.3,0.38, 1.44, -.06, .32
0.73,-0.28,0.52, .69, -.65, .56
0.19,-0.2,0.1, -.04, -2.91, 2.96
0.81,-0.68,0.17, -.73, -1.38, 3.58
0.99,-0.76,-0.09, -1.85, .63, 2.34
0.54,-0.57,0.07, -.88, .1, .93
0.69,-0.85,0.03, -.46, .23, .1
0.49,-1.25,0.01, -.55, -.04, .18
0.37,-0.74,-0.04, -.51, -.5, 1.74
0.49,-0.93,-0.05, -.12, -.05, .61
0.34,-1.01,-0.1, -.54, .08, -.5
0.23,-0.41,-0.07, .05, -.29, 1.36
0.31,0.07,0.1, .95, -1.82, -.38
-0.17,-1.96,-0.22, -.34, -2.67, 2.35
0.62,-1.89,-0.23, .52, -.82, -.24
0.15,-0.61,-0.2, .08, -.26, .04
0.08,-0.99,-0.12, .02, -.17, -.01
0.1,-0.98,-0.11, .03, -.02, -.02
0.1,-0.97,-0.1, .04, .03, -.01
0.12,-0.97,-0.12, .01, .11, .01
0.18,-0.97,-0.1, .06, -.15, -.01
0.14,-0.97,-0.1, .04, -.15, -.04
0.12,-0.98,-0.1, .02, -.08, -.02
0.14,-0.98,-0.08, , -.04, -.01
0.14,-0.97,-0.09, -.03, , -.01
0.13,-0.97,-0.1, -.03, .02, 
0.14,-0.97,-0.1, -.03, .01, 
0.14,-0.97,-0.11, -.04, -.03, -.01
0.14,-0.97,-0.12, -.03, -.06, -.02
0.13,-0.97,-0.12, -.03, -.05, -.02
0.13,-0.97,-0.13, -.03, -.03, -.02
0.13,-0.97,-0.12, -.03, .01, -.01
0.14,-0.97,-0.11, -.01, .03, -.01
0.15,-0.97,-0.11, -.01, .01, -.01
0.14,-0.97,-0.11, -.02, .02, -.01
0.14,-0.97,-0.11, -.02, .06, 
0.15,-0.97,-0.11, -.01, .03, 
0.15,-0.97,-0.12, -.01, .03, -.01
0.16,-0.96,-0.12, -.01, -.02, -.02
0.15,-0.97,-0.13, -.02, -.05, -.02
0.15,-0.97,-0.12, , -.04, -.01
0.14,-0.97,-0.12, , , -.01
0.15,-0.97,-0.12, -.01, .01, 
0.15,-0.97,-0.13, -.01, , -.01
0.16,-0.96,-0.13, , -.01, 
0.15,-0.97,-0.12, , , 
0.15,-0.97,-0.12, , .02, .01
0.15,-0.97,-0.12, , .02, .01
0.15,-0.97,-0.12, -.02, .02, .01
0.15,-0.97,-0.12, -.01, .02, .01
0.15,-0.97,-0.12, -.01, .02, .01
0.15,-0.97,-0.12, -.01, .02, .01
0.15,-0.97,-0.12, -.01, .02, .01
0.15,-0.97,-0.12, -.02, .01, .01
0.15,-0.97,-0.12, -.01, , .01
0.15,-0.97,-0.12, -.01, .01, .01
0.15,-0.97,-0.12, -.01, .01, .01
0.15,-0.97,-0.12, , , .01
0.14,-0.97,-0.13, -.01, .01, .01
0.15,-0.97,-0.12, -.01, , .01
0.14,-0.97,-0.12, -.01, , 
0.14,-0.97,-0.12, -.01, , 
0.14,-0.97,-0.12, -.01, .01, .01
0.15,-0.97,-0.12, -.01, , .01
0.15,-0.97,-0.13, , , 
0.14,-0.97,-0.13, , , .01
0.14,-0.97,-0.13, , .01, .01
0.15,-0.97,-0.13, , , .01
0.15,-0.97,-0.13, , -.01, 
0.14,-0.97,-0.12, , -.02, 
0.14,-0.97,-0.12, .01, -.02, 
0.14,-0.97,-0.12, , -.01, 
0.14,-0.97,-0.12, , .01, .01
0.14,-0.97,-0.12, , .01, .01
0.15,-0.97,-0.12, , , .01
0.15,-0.97,-0.12, , -.01, 
0.14,-0.97,-0.12, , , 
0.14,-0.97,-0.12, , .01, .01
0.14,-0.97,-0.12, .01, -.01, .01
0.15,-0.97,-0.12, .01, -.03, 
0.14,-0.97,-0.12, , -.02, 
0.13,-0.97,-0.12, .01, , .01
0.14,-0.97,-0.12, , .01, .01
0.15,-0.97,-0.12, .01, .01, .01
0.14,-0.97,-0.12, , .01, .01
0.14,-0.97,-0.12, , , 
0.14,-0.97,-0.12, , , 
0.14,-0.97,-0.11, , .01, 
0.14,-0.97,-0.11, , .02, 
0.14,-0.97,-0.11, , .01, 
0.14,-0.97,-0.11, , .01, 
0.14,-0.97,-0.11, -.01, .01, 
0.14,-0.97,-0.11, , .01, 
0.14,-0.97,-0.12, , , 
0.15,-0.97,-0.12, -.01, -.02, 
0.14,-0.97,-0.11, -.01, -.01, 
0.13,-0.97,-0.11, -.01, .02, 
0.14,-0.97,-0.11, -.02, .04, 
0.15,-0.97,-0.12, -.01, .01, 
0.14,-0.97,-0.12, -.01, -.01, 
0.14,-0.97,-0.12, -.01, -.01, 
0.14,-0.97,-0.11, -.01, .01, 
0.14,-0.97,-0.11, -.01, .03, 
0.14,-0.97,-0.12, -.02, .02, 
0.15,-0.97,-0.12, -.01, -.01, .01
0.14,-0.96,-0.12, -.02, -.07, 
0.15,-0.96,-0.16, -.08, -.09, -.03
0.16,-0.96,-0.18, , -.07, -.03
0.15,-0.95,-0.15, .08, -.16, -.04
0.13,-0.96,-0.16, .1, -.18, -.07
0.1,-0.96,-0.16, .12, -.12, -.07
0.1,-0.96,-0.16, .1, -.06, -.09
0.13,-0.94,-0.12, .05, -.17, -.08
0.16,-0.95,-0.09, .12, -.17, -.03
0.27,-0.99,-0.09, .28, -.04, -.2
0.14,-0.91,-0.21, .34, .18, -.01
0.32,-0.93,-0.12, .67, -.12, .01
0.18,-0.9,-0.19, .59, .05, .05
0.13,-0.94,-0.19, .36, .81, .26
0.26,-0.99,-0.12, .34, .67, .17
0.65,-1.37,-0.14, -.19, -.34, -.18
0.04,-1.04,-0.3, -1.81, .11, .38
-0.01,-0.92,-0.13, -2.02, .03, .11
0.36,-1.28,0.14, -1.88, -1.6, -.47
0.03,-0.81,-0.2, -1.13, -1.34, -.33
0.03,-0.6,-0.27, -.27, -.23, -.11
0.05,-0.56,-0.28, .62, .38, -.02
0.06,-0.73,-0.44, .78, .16, -.19
0.23,-1.54,-0.9, -.34, -.2, -.13
-0.06,-1.19,-0.11, .99, 1, .47
-0.02,-0.54,-0.16, 1.15, .62, .72
0.45,-1.22,0.03, .62, .99, -.25
-0.01,-0.74,-0.06, .9, .52, -.18
0.2,-0.87,-0.18, .94, .36, -.01
0.1,-0.81,-0.11, .92, .3, .44
0.21,-1.03,-0.22, .18, 1, .38
0.38,-1.16,-0.1, -.36, .22, .1
0.23,-1.26,-0.14, -2.24, -.34, -.24
-0.14,-1.35,-0.19, -2.46, .46, -.74
0.2,-1.04,0.22, -1.4, -3.1, -.52
0.17,-0.51,-0.19, -.69, -1.67, -.34
-0.12,-0.66,-0.04, .61, -.32, -.4
-0.04,-0.62,-0.35, 1.16, .42, -.43
0.08,-1.43,-0.94, -.97, -.45, -.09
-0.11,-1.14,-0.38, .01, -.43, .52
0.22,-0.72,0.01, 1.28, .38, .02
0.47,-1.19,0.01, 1.44, 1.23, -.5
-0.29,-0.79,-0.16, 1.1, 1.35, .1
0.32,-0.82,-0.02, .86, .52, .13
0.17,-0.89,-0.23, .51, .56, .36
0.23,-0.97,-0.17, .03, .61, .3
0.27,-1.2,-0.15, -1.04, -.08, -.04
0.04,-1.09,-0.31, -2.58, .67, -.01
0.07,-1.51,0.03, -1.6, -.52, -.42
0.21,-0.84,-0.05, -.97, -1.9, -.41
0.05,-0.57,-0.14, .19, -.77, -.35
-0.08,-0.63,-0.11, 1.43, .42, -.23
0.18,-1.05,-0.73, -.63, -.26, -.23
-0.05,-0.9,-0.49, -.38, -.35, .28
0.24,-1.49,-0.33, .5, .68, -.02
-0.15,-0.7,0.14, .84, -.06, .52
0.31,-1.07,-0.08, .64, .96, 
-0.02,-0.79,-0.21, .5, 1.1, 1.46
0.26,-1.21,-0.03, 1.09, -.08, -.03
-0.06,-1.11,-0.15, .92, -.39, -1.01
0.03,-1.22,-0.09, -.13, .73, -1.51
0.29,-1.51,0.04, .11, 1.02, -1.82
0.36,-1.01,-0.01, 1.69, 1.46, -.03
0.15,-0.74,0.24, 3.37, 2.14, 2.37
0.47,-1.06,-0.15, 2.36, 3.76, 1.36
1.24,-1.0,0.68, 2.77, 1.64, -3.51
0.53,-0.79,0.71, 3.59, 1.58, -6.68
-0.23,-0.66,0.38, 1.45, 1.46, -6.34
0.09,-0.59,0.55, .56, 3.41, -5.21
0.05,-0.41,1.35, 1.72, -3.38, -4.44
0.63,-0.46,0.89, 2.18, -.58, -4.66
0.48,0.22,0.55, 1.79, 2.22, -2.09
0.29,0.23,0.36, -.45, 1.66, -1.65
-0.38,0.51,1.02, .32, -.87, .35
0.18,0.63,0.57, .6, -5.7, -.65
0.07,0.13,0.32, 1.47, -7.85, -1.24
-0.12,-0.03,-0.03, .75, -7.43, -1.58
-0.11,-0.01,-0.02, .02, -7.46, -1.72
-0.1,0.01,-0.02, -.64, -7.69, -1.63
-0.1,0.03,-0.02, -1.08, -7.98, -1.35
-0.1,0.03,-0.03, -1.25, -7.78, -.96
-0.09,0.08,-0.04, 4.33, 2.65, -.38
-0.49,0.33,0.12, 8.84, 14.33, 4.49
-0.34,-0.18,-0.04, 2.22, 16.27, 8.47
-0.75,-0.55,-0.05, -6.12, 15.19, 6.83
-0.73,-1.02,-0.06, -9.88, 13.22, 1.34
-0.67,-1.11,-0.07, -7.98, 14.1, -4.38
0.59,-2.83,-0.7, -7.65, 3.09, -13.6
-0.85,0.04,0.58, 2.02, -7.77, 1.98
-0.15,-0.13,-0.02, 2.95, -7.45, 1.11
-0.52,0.18,-0.99, -2.24, -2.45, 1.07
-0.79,0.21,-0.72, -.28, 5.98, 1.87
0.1,0.14,0.22, -.19, -3.08, .29
-0.13,0.07,-1.05, .17, -.83, .18
0.08,0.01,-1.39, , -.17, 
0.03,0.02,-1.02, , -.01, 
0.02,0.02,-1.0, , , 
0.02,0.02,-1.0, , , 
0.02,0.02,-1.0, , , 
0.02,0.02,-1.0, , , 
0.02,0.02,-1.0, , , 
0.02,0.02,-1.0, , , 
0.02,0.02,-1.0, , , 
0.02,0.02,-1.0, , , 
0.02,0.02,-1.0, , , 
0.02,0.02,-1.0, , , 
0.02,0.02,-1.0, , , 
0.02,0.02,-1.0, , , 
0.02,0.02,-1.0, , , 
0.02,0.02,-1.0, , , 
0.02,0.02,-1.0, , , 
0.02,0.02,-1.0, , , 
0.02,0.02,-1.0, , , 
0.02,0.02,-1.0, , , 
0.02,0.02,-1.0, , , 
0.02,0.02,-1.0, , , 
0.02,0.02,-1.0, , , 
0.02,0.02,-1.0, , , 
0.02,0.02,-1.0, , , 
0.02,0.02,-1.0, , , 
0.02,0.02,-1.0, , , 
0.02,0.02,-1.0, , , 
0.02,0.02,-1.0, , , 
0.02,0.02,-1.0, , , 
0.02,0.02,-1.0, , , 
0.02,0.02,-1.0, , , 
0.02,0.02,-1.0, , , 
0.02,0.02,-1.0, , , 
0.02,0.02,-1.0, , , 
0.02,0.02,-1.0, , , 
0.02,0.02,-1.0, , , 
0.02,0.02,-1.0, , , 
0.02,0.02,-1.0, , , 
0.02,0.02,-1.0, , , 
0.02,0.02,-1.0, , , 
0.02,0.02,-1.0, , , 
0.02,0.02,-1.0, , , 
0.02,0.02,-1.0, , , 
0.02,0.02,-1.0, , , 
0.02,0.02,-1.0, , , 
0.02,0.02,-1.0, , , 
0.02,0.02,-1.0, , , 
0.02,0.02,-1.0, , , 
0.02,0.02,-1.0, , , 
0.02,0.02,-1.0, , , 
0.02,0.02,-1.0, , , 
0.02,0.02,-1.0, , , 
0.02,0.02,-1.0, , , 
0.02,0.02,-1.0, , , 
0.02,0.02,-1.0, , , 
0.02,0.02,-1.0, , , 
0.02,0.02,-1.0, , , 
0.02,0.02,-1.0, , , 
0.02,0.02,-1.0, , , 
0.03,0.03,-1.0, , , 
0.02,0.02,-1.0, , , 
0.02,0.02,-1.0, , , 
0.02,0.02,-1.0, , , 
0.02,0.02,-1.0, , , 
0.02,0.02,-1.0, , , 
0.02,0.02,-1.0, , , 
0.02,0.02,-1.0, .01, -.06, 
,0.02,-1.0, -.03, -.04, .01
0.06,-0.01,-1.15, -.55, .6, .43
-0.14,0.38,-1.35, -1.84, 2.19, 3.64
0.3,0.48,-1.65, -4.1, 4.1, 6.73
0.94,0.31,-1.51, -5.27, 4.91, 5.76
