
-.23, .81, .88, 1.97, 2.08, .5
-.23, .81, .88, 1.97, 2.08, .5
-.15, .83, .5, 1.08, 1.8, .47
-.14, .88, .27, -.43, 1.58, .87
-.17, .77, .4, -1.36, .82, 1.07
-.17, .68, .55, -.9, 2.69, 1.47
-.26, .56, .5, -1.6, 3.8, .84
-.44, .71, .81, -.95, 2.11, .52
-.28, .6, .81, .25, .53, -.42
-.44, .69, .72, 1.33, .14, -.5
-.08, .55, .33, .58, 1.7, -2.65
-.27, .36, -.14, -1.58, 2.22, -4.22
-1.19, .28, .34, -1.73, -.53, -1.14
-1.04, .13, .45, -.64, 1.61, -1.58
-1.24, .24, .58, .03, 1.08, -.67
-1.15, .02, .56, .22, .51, .18
-.87, -.15, .54, .46, -.27, -.03
-.82, -.33, .36, .41, -.78, -.88
-1.05, -.06, .02, -.94, -1.22, -.39
-.8, .21, -.02, -1.32, -.24, -1.34
-.87, .15, .12, -1.42, -.09, -1.55
-.84, -.44, .09, -2.65, .64, -2.08
-.95, -.66, .24, -2.81, .23, -2.33
-1.27, -.64, .05, -2.65, 1.2, -1.71
-1.41, -.39, .01, -2.16, .33, .17
-.51, -.36, .72, .94, -.34, -.18
.01, -.43, .32, 1.67, .02, -2.71
-.44, -.98, .07, 1.76, -.69, -1.8
-1.27, -.97, -.38, -.15, .88, 1.01
-.87, -.92, .1, -.16, 1.14, .67
-.48, -.75, .22, .58, .02, .31
-.64, -.74, .04, .66, -.16, .15
-.88, -1.26, .2, -.05, -.42, .44
-1.6, -1.15, , -.86, , 3.44
.41, -.53, .32, .7, -.72, .41
.04, -.16, -.1, -.97, -1.52, -.94
-.36, -.48, , -1.93, -2.05, -.03
-1.69, -1.01, -.16, -1.91, 1.96, 1.54
-.88, -.93, .73, -.44, -1.14, -.22
-.7, -.65, .12, .62, -.52, -.29
-.77, -.57, -.02, -.03, -.25, -.09
-.83, -.52, -.01, -.54, .11, .19
-.74, -.64, .17, -.33, -.35, -.03
-.75, -.65, .23, .09, -1.2, -.21
-.81, -.58, .08, .19, 1.09, .97
-.8, -.47, -.01, -.12, 2.01, 2.66
-.87, -.52, .16, .19, .23, 
-.92, -.33, .03, .51, .03, .1
