AX,AY,AZ,GX,GY,GZ
0.03,-0.71, -.06, 1.22, .69, .06
0.21,-0.87, -.2, 1.13, -.08, .08
0.06,-0.8, -.33, 1.05, .6, .22
0.21,-0.93, -.14, .74, .85, .26
0.08,-1.12, -.4, -.74, 1.3, .07
0.52,-1.33, -.15, -2.43, -.04, -.73
-0.16,-1.5, -.26, -1.77, -.27, -.64
-0.23,-0.41, .07, -1.83, -.72, -.01
0.14,0.09, -.09, -1.04, -.48, .28
0.15,-0.74, -.11, -.07, -.99, -.22
0.01,-1.01, -.41, .5, -.68, -.27
-0.48,-0.62, -.28, .92, -.08, 1.41
-0.26,-0.71, -.01, 1.01, .57, 1.49
-0.28,-1.13, .65, .56, -2.96, .44
-0.1,-0.76, -.48, -.53, -1.78, 1.67
-0.96,-3.26, -.56, 3.13, -1.76, -.61
0.16,-0.68, -.97, 4.1, -1.84, -.24
0.04,-0.05, -.23, 4.51, -1.82, .22
-0.21,-0.43, -.09, 5.22, .64, .5
-0.04,-0.21, .35, 2.86, 4.53, .58
-0.95,0.05, 1.61, 3.42, -4.39, 2.22
-1.1,0.17, 1.8, .04, -2.52, .9
0.16,-0.71, 1.41, -.51, 1.17, -.2
-0.27,0.49, .67, .55, -3.16, -.24
-0.26,0.06, 1.03, .07, -.85, -.08
0.02,-0.03, 1.07, -.34, .36, -.05
-0.04,-0.07, .95, .36, -.5, -.18
0.02,-0.05, 1, .11, -.18, -.02
0.03,-0.04, 1.02, .01, -.04, .01
0.03,-0.04, 1, .05, -.03, .02
0.03,-0.04, 1.01, .02, , .01
0.03,-0.03, 1, .09, .01, 
0.03,-0.03, 1, .05, .1, 
0.03,-0.02, 1, .05, .2, 
0.01,-0.03, 1, -.07, , .01
0.01,-0.02, 1.01, .02, .11, 
,-0.03, 1.01, -.03, .06, .01
,-0.03, 1, -.01, .04, .01
-0.01,-0.03, 1, .01, -.03, 
,-0.02, 1, , -.01, 
,-0.03, 1, .02, -.01, 
,-0.02, 1, .01, , 
,-0.02, 1, , -.01, 
,-0.02, 1, , , 
,-0.02, 1, , .01, 
,-0.02, 1, , .01, 
,-0.02, 1, , , 
,-0.02, 1, , , 
,-0.02, 1, , , 
,-0.02, 1, , , 
,-0.02, 1, , , 
,-0.02, 1, , , 
,-0.02, 1, , , 
,-0.02, 1, , , 
,-0.02, 1, , , 
,-0.02, 1, , , 
,-0.02, 1, , , 
,-0.02, 1, , , 
,-0.02, 1, , , 
,-0.02, 1, , , 
,-0.02, 1, , , 
,-0.02, 1, , , 
,-0.02, 1, , , 
,-0.02, 1, , , 
,-0.02, 1, , , 
,-0.02, 1, , , 
,-0.02, 1, , , 
,-0.02, 1, , , 
,-0.02, 1, , , 
,-0.02, 1, , , 
,-0.02, 1, , , 
,-0.02, 1, , , 
,-0.02, 1, , , 
,-0.02, 1, , , 
,-0.02, 1, , , 
,-0.02, 1, , , 
,-0.02, 1, , , 
,-0.02, 1, , , 
,-0.02, 1, , , 
,-0.02, 1, , , 
,-0.02, 1, , , 
,-0.02, 1, , , 
,-0.02, 1, , , 
,-0.02, 1, , , 
,-0.02, 1, , , 
,-0.02, 1, , , 
,-0.02, 1, , , 
,-0.02, 1, , , 
,-0.02, 1, , , 
,-0.02, 1, , , 
,-0.02, 1, , , 
,-0.02, 1, , , 
,-0.02, 1, , , 
,-0.02, 1, , , 
,-0.02, 1, , , 
,-0.02, 1, , , 
,-0.02, 1, , , 
,-0.02, 1, .03, , 
,-0.02, 1, .08, -.04, -.01
,-0.01, 1.01, , .01, 
