
-.16, .44, .84, -.43, -.67, .18
-.16, .44, .84, -.43, -.67, .18
-.19, .42, .78, -.88, -1.23, .43
, .31, .81, -1.49, -3.2, .31
.28, .12, .7, -.29, -3.73, .42
.58, -.08, .72, 1.02, -2.75, 1.16
.29, -.07, .31, .49, -3.15, 4.61
.61, -.56, .83, 1.99, -2.56, 5.11
1.24, -.4, .96, 2.66, -1.47, 4.18
1.91, -.08, .64, 2.02, -.18, 1.84
1.7, .05, .38, .64, -.44, -.15
.99, -.11, .06, .96, -.7, -.65
.52, -.13, .49, .7, -1.46, .43
.47, -.27, .13, -.72, -.51, 2.21
1.07, -.5, .26, -1.02, -.79, 3.05
.8, -.56, .27, -.63, -.81, 2.69
.62, -.42, .03, -.33, .35, 1.84
.79, -.7, .03, -.69, 1.18, .51
.56, -1.51, .2, -.31, -.01, .1
.45, -.58, .16, -1, -.75, 2.44
.32, -.86, -.03, -.11, -.24, 1.08
.44, -1.03, .03, -.44, -.26, -.42
.24, -.65, .03, -.07, -.75, .04
.21, -.17, .12, -.16, -2.42, .57
-.18, -1.35, , .13, -2.19, 1.46
.76, -1.86, -.49, .1, -.06, -.1
.12, -.88, -.07, .06, -.1, 
.18, -.95, -.09, .04, -.1, -.02
.18, -.97, -.09, .01, -.01, -.04
.12, -.98, -.08, -.06, .14, -.03
.13, -.97, -.12, -.12, .28, .03
.28, -.93, -.08, .11, -.09, -.03
.23, -.95, -.09, .1, -.19, -.04
.11, -.99, -.07, .02, -.04, 
.18, -.97, -.04, .04, -.08, -.01
.2, -.97, -.09, , -.15, -.04
.21, -.96, -.1, .02, -.24, -.06
.19, -.96, -.1, .04, -.22, -.06
.16, -.97, -.1, -.01, -.07, -.04
.16, -.97, -.09, -.07, .06, -.01
.18, -.96, -.09, -.06, .11, 
.21, -.96, -.1, -.03, .08, 
.21, -.95, -.1, -.01, .03, 
.21, -.96, -.11, , , 
.19, -.96, -.11, , .02, 
.19, -.96, -.11, -.01, .04, .01
.2, -.96, -.11, -.01, .05, .01
.22, -.96, -.1, .01, , 
.22, -.96, -.1, .01, -.04, -.01
.19, -.96, -.1, -.02, , 
.19, -.96, -.1, , .02, .01
.2, -.96, -.11, , .01, 
.2, -.96, -.1, -.01, , 
.2, -.96, -.1, , , 
.2, -.96, -.11, -.01, -.02, 
.21, -.96, -.12, , -.06, -.02
.19, -.96, -.1, .01, -.05, -.01
.17, -.97, -.09, , .01, 
.18, -.97, -.1, , .02, 
.19, -.96, -.1, .01, .03, .01
.21, -.96, -.11, , .04, .01
.21, -.96, -.11, -.02, .06, .02
.22, -.95, -.1, .02, .02, .01
.21, -.96, -.1, -.01, -.03, 
.18, -.97, -.1, , .01, .01
.17, -.97, -.1, -.03, .08, .02
