AX,AY,AZ,GX,GY,GZ
0.16, .44, .85, -.16, .22, -.5
0.06, .41, .76, -.41, .43, -.52
0.01, .35, .92, .52, -1.26, -.72
0.13, .34, 1.01, 1.15, -1.94, -.33
0.19, .31, .58, -.19, -.5, .56
-0.02, .4, .49, -.56, -1.65, 1.89
0.18, -.17, .66, .03, -3.59, 3.52
0.65, -.16, .7, -.06, -2.38, 4.23
0.95, -.04, .91, .74, -1.8, 4.15
1.33, .02, .91, 1.75, -1.66, 3.2
1.65, , .7, 1.95, -.91, 1.38
1.06, -.1, .31, 1.65, -2.49, 1.15
0.92, -.31, -.14, .91, -2.27, 1.12
0.91, -.35, .11, -.17, -.31, 2.12
0.71, -.54, .18, -.96, .13, 2.91
0.7, -.66, -.08, -.9, 1.11, 2.52
0.7, -.67, .14, -.3, .78, 2.24
0.56, -.56, , -.64, .74, .42
0.58, -1.29, .06, -.49, 1.07, -.12
0.28, -1.07, .11, -.26, -.53, 1.25
0.34, -.77, .02, -.2, -.27, 1.05
0.37, -.98, .03, -.17, .06, .17
0.26, -1.05, .03, -.2, .2, .06
0.19, -.6, , -.28, -.5, .69
0.04, .01, .07, -.62, -2.98, .41
0.21, -2.28, -.27, .27, -2.24, 1.31
0.36, -1.25, -.12, .15, -.56, -.31
0.09, -.83, -.11, .08, -.02, -.01
0.06, -.98, -.08, -.02, .01, .03
0.13, -.97, -.04, .02, -.07, 
0.16, -.97, -.07, .02, -.13, -.04
0.13, -.97, -.08, .04, -.16, -.02
0.16, -.96, -.07, .09, -.19, -.03
0.11, -.98, -.06, .1, -.2, -.02
0.08, -.99, -.05, .04, -.06, -.02
0.06, -.99, -.05, -.03, .06, .01
0.09, -.98, -.05, -.04, .09, .01
0.12, -.98, -.05, -.03, .02, 
0.13, -.97, -.06, -.01, -.03, -.02
0.12, -.98, -.06, -.03, -.04, -.02
0.12, -.98, -.06, -.04, .01, -.01
0.12, -.98, -.06, -.04, .03, 
0.12, -.97, -.07, -.02, .03, 
0.12, -.97, -.08, -.03, .04, .01
0.12, -.98, -.08, -.03, .05, .01
0.11, -.98, -.07, -.02, .05, .01
0.12, -.97, -.08, -.02, .04, 
0.12, -.98, -.07, -.02, .02, 
0.12, -.98, -.07, -.02, .02, 
0.11, -.98, -.07, -.01, , 
0.12, -.98, -.07, -.01, -.02, -.01
0.12, -.97, -.08, -.01, -.04, -.01
0.12, -.97, -.07, , -.03, -.01
0.11, -.98, -.08, -.01, -.01, 
0.12, -.98, -.09, -.02, , 
0.12, -.97, -.08, -.01, , 
0.11, -.97, -.08, , .01, 
0.11, -.98, -.08, -.01, .03, 
0.12, -.98, -.08, -.01, .03, .01
0.12, -.97, -.08, , .02, .01
0.12, -.97, -.09, -.02, .02, .01
0.12, -.98, -.08, -.02, .02, .01
0.12, -.97, -.08, , .01, 
0.12, -.97, -.08, , , 
0.11, -.98, -.09, -.01, .01, 
0.12, -.97, -.09, -.01, .01, 
0.12, -.97, -.09, -.01, , 
0.12, -.97, -.08, , , 
0.12, -.98, -.08, , .01, 
0.11, -.97, -.08, , .01, 
0.12, -.98, -.09, -.01, , 
0.12, -.97, -.08, -.01, , 
0.12, -.98, -.08, -.01, .01, 
0.11, -.98, -.08, -.01, .02, .01
0.12, -.98, -.08, -.01, .02, .01
0.12, -.97, -.08, , .01, 
0.12, -.97, -.09, , , 
0.12, -.97, -.08, , -.01, 
0.11, -.97, -.09, , -.01, 
0.12, -.97, -.09, .01, -.01, 
0.11, -.98, -.08, , -.01, 
0.12, -.97, -.08, , , 
0.11, -.98, -.08, , , 
0.12, -.97, -.08, , , 
0.11, -.98, -.09, -.01, , 
0.12, -.97, -.08, , , 
0.11, -.98, -.08, -.01, , 
0.12, -.98, -.08, , , 
0.11, -.98, -.08, , , 
0.11, -.98, -.08, , .01, 
0.11, -.98, -.08, , , 
0.11, -.98, -.08, , -.01, 
0.11, -.98, -.08, , -.01, 
0.11, -.98, -.08, , , 
0.11, -.98, -.08, , , 
0.11, -.98, -.08, , , 
0.11, -.97, -.08, , .01, 
0.12, -.98, -.08, .01, .01, 
0.12, -.97, -.08, .01, , 
0.11, -.98, -.08, , , 
0.11, -.98, -.08, .01, , 
0.11, -.98, -.08, , .01, 
0.11, -.98, -.07, .01, .01, 
0.11, -.98, -.08, .01, .01, .01
0.12, -.98, -.08, , , 
0.11, -.98, -.08, .02, -.01, 
0.11, -.98, -.07, .02, .01, 
0.11, -.98, -.07, .01, , .01
0.12, -.97, -.08, -.02, -.03, 
0.1, -.98, -.11, -.04, -.05, .01
0.11, -.98, -.07, .06, -.03, -.02
0.1, -.98, -.08, .03, .01, 
0.11, -.98, -.06, -.01, , .02
0.13, -.97, -.08, -.17, -.15, -.04
0.02, -.97, -.18, -.39, -.55, -.02
0.09, -.98, -.25, -.04, -.44, -.36
0.01, -1.05, -.21, -.08, -1.53, -.57
-0.01, -.79, -.23, .19, -.45, -.05
0.16, -.91, -.04, .31, .26, .09
0.61, -1.1, -.12, .76, .26, -.48
0.19, -.82, -.06, .89, -.01, -.25
0.22, -.91, -.18, .61, .12, -.1
0.05, -.94, -.25, .38, .97, .05
0.3, -.87, -.1, .51, .91, .22
0.43, -1.19, -.21, -.11, .87, .35
0.67, -1.34, -.19, -1.41, -.23, -.06
0.05, -1.16, -.25, -2.5, .65, -.36
0.15, -1.31, .18, -1.88, -2.63, -.38
0.06, -.62, -.06, -1.43, -1.99, 
0.17, -.67, -.17, -.56, -.79, -.4
, -.52, -.2, .43, .19, -.5
0.11, -.6, -.57, .42, -1.02, -.47
0.09, -1.43, -1.08, -.58, -1.06, .18
-0.24, -1.22, -.23, .17, .05, .49
0.11, -.69, -.1, 1.39, 1.69, .41
0.57, -1.3, .13, 1.55, 2.13, -.71
-0.09, -.73, -.19, 1.32, 2.57, -.04
0.2, -.7, .06, 1.32, .94, .2
0.25, -.88, -.25, .61, .79, .43
0.24, -.92, -.16, .43, .89, .54
0.55, -1.13, -.06, -.2, .22, .14
0.35, -1.24, -.28, -2.05, -.67, -.07
0.18, -1.26, .02, -2.57, -.34, -.74
0.13, -1.44, -.1, -1.74, -1.85, -.34
0.02, -.75, , -1.63, -2.69, -.23
0.12, -.38, -.02, .19, -.99, -.45
