AX,AY,AZ,GX,GY,GZ
0.04, -.39, -.12, 1.22, -.83, -.8
0.05, -1.23, -1.13, -.93, -1.13, -.16
-0.45, -.81, -.85, -1.18, -1.74, .7
0.36, -1.26, .04, .42, 1.22, .08
0.32, -1.32, -.12, 1.16, 2.74, -.16
-0.23, -.81, -.77, 1.44, 3.15, .73
0.85, -.89, -.56, 1.18, .01, -.14
0.01, -.78, -.48, -2.18, 1.05, -.13
0.08, -.42, .17, -3.02, 1.56, -1.42
-0.26, -.37, .22, -4.08, -2.06, -.95
-0.14, -.45, .43, -3.3, -2.3, -.05
0.36, -.76, -.82, -5.96, -.55, -.23
-0.29, -.61, -1.12, -5.54, 1.19, .72
0.49, .13, -1.22, -4.76, .43, -.15
0.37, .63, -1.21, -3.98, .1, -.59
0.14, .89, -1.51, -1.11, -.43, -.14
0.45, .87, -1.52, -1.26, .62, .46
0.46, 1.28, -.19, .1, 1.43, -.39
-0.15, 1.19, -.23, .05, 1.13, .03
0.17, .97, .25, -.22, -.02, .41
0.43, .58, -.7, -2.09, .16, .18
0.23, .66, .25, -.93, -.16, -.08
0.49, 1.56, -.35, -.27, -.4, .02
0.15, .82, .04, .92, .39, .14
0.62, .95, .06, 1.39, -.43, -.43
0.14, .91, -.42, 1.34, -.36, .52
0.24, .88, -.01, 2.56, .02, .14
0.48, .64, -.52, 2.55, -.82, -.44
0.29, .55, -.45, 3.51, -.45, -.11
0.28, .31, -1.19, 2.42, -.4, -.07
0.24, -.14, -.74, 3.31, 1.26, -.5
0.15, .43, -1.23, 2.21, .84, -.15
0.42, -.33, -1.59, -1.67, -1.56, -.31
-0.08, -.21, -.85, -.13, 1.25, .67
0.53, .25, -.33, 1.36, -.04, .15
0.31, -.06, -1.38, .09, -.01, .15
0.51, -.03, -1.08, -.28, , -.22
0.24, .08, -.95, -.16, -.07, .17
0.29, .08, -.56, .66, -.22, -.03
0.31, -.13, -1.34, -.39, .07, -.01
0.3, .01, -.82, .12, .1, -.06
0.27, .04, -.98, .01, .03, .08
0.38, -.01, -.97, -.06, .04, -.02
0.32, .02, -.92, .05, -.05, .01
0.32, , -.97, .01, -.05, -.02
0.32, , -.97, -.03, -.01, -.01
0.29, .01, -.94, .02, .02, .02
0.32, , -.97, -.01, .02, 
0.33, , -.96, -.01, , 
0.32, .01, -.95, , -.02, 
0.31, , -.96, -.01, -.01, 
0.3, , -.96, , .01, 
0.32, , -.96, -.01, .01, 
0.32, .01, -.95, , -.01, 
0.32, .01, -.96, , -.02, 
0.31, , -.96, , -.01, 
0.31, , -.96, , .01, 
0.32, , -.96, , .01, 
0.32, , -.96, -.01, -.01, 
0.32, .01, -.96, , -.01, 
0.31, .01, -.96, , , 
0.31, .01, -.96, , , .01
0.32, .01, -.96, , -.02, .01
0.32, , -.96, , -.01, -.01
0.31, , -.96, , -.01, .01
0.31, .01, -.96, -.01, -.01, .01
0.31, , -.96, , , 
0.3, , -.96, , .01, 
0.31, .01, -.96, , .02, 
0.32, , -.96, -.01, .01, 
0.32, , -.96, -.01, -.01, 
0.31, .01, -.96, , -.01, 
0.31, , -.96, , , 
0.31, , -.96, , .02, -.01
0.31, , -.96, , .01, -.01
0.31, .01, -.96, , .01, -.01
0.31, .01, -.96, , .01, 
0.32, .01, -.96, , -.01, .01
0.32, , -.96, , -.03, 
0.31, , -.97, , -.01, -.02
0.3, , -.96, -.01, .02, 
0.31, .02, -.96, , .02, .02
0.33, , -.96, , -.03, .01
0.32, , -.96, , -.03, -.01
0.3, , -.96, , , 
0.3, .01, -.96, .05, .06, -.02
0.3, -.02, -.98, -.03, .14, -.03
0.35, .03, -.94, -.02, .03, -.01
0.36, .01, -.95, -.03, -.14, -.01
0.37, .01, -.95, -.02, -.26, -.06
0.31, .02, -.96, .05, -.25, -.11
0.22, -.02, -1, -.01, -.17, -.03
0.27, .06, -.91, .13, -1.25, .37
0.27, -.03, -1.02, -.02, -.3, -.07
0.12, , -1.03, -.09, .03, -.11
0.2, .01, -.93, .03, -.35, -.3
0.08, -.05, -1.01, -.13, -.25, -.17
0.07, -.02, -1.04, -.23, .23, -.04
0.16, .06, -1, -.2, .39, -.07
0.18, .06, -.93, .05, -.15, -.14
0.17, .07, -1, .02, -.14, -.29
0.1, -.04, -.98, .03, -.34, -.1
0.15, .04, -1, .01, -.48, -.03
0.1, .04, -1.01, .04, -.17, -.07
0.12, .03, -.99, -.02, .02, -.04
0.1, .07, -.99, .08, -.02, .08
0.08, , -1, .05, -.07, .03
0.07, .04, -1, .04, -.04, .02
0.07, .01, -1, .07, -.01, 
0.05, .02, -1.01, -.04, -.03, .05
0.05, .02, -1.01, -.01, .07, -.02
0.09, .04, -1, -.03, .23, -.03
0.08, .03, -.99, .1, .12, .04
0.11, .01, -.99, .13, .04, .05
0.11, -.01, -1.02, .17, .01, -.15
0.03, -.27, -.99, .15, -.05, -1.11
0.03, -.2, -1.03, -.46, 1.34, -2.29
0.29, -.22, -.91, -.32, 1.36, -1.97
0.19, .16, -.96, 1.29, .68, .22
0.3, -.06, -1.07, 1.7, .45, 1.94
0.4, -.13, -.95, 2.15, .08, 2.49
0.44, -.23, -1.06, 3.27, .49, 1.57
0.02, -.41, -.97, 5.93, 3.18, 2.57
0.25, -.79, .37, 7.69, 1.48, 3.57
0.35, -1.36, -.46, 3.17, -.01, 3.13
0.41, -1.54, -.18, -.02, .33, .56
0.33, -1.45, .05, -2.85, -.47, -1.9
0.36, -1.52, .56, -1.72, -.88, -4.76
0.41, -1.19, .83, .57, -2.66, -7.73
-0.01, -.9, .18, 1.48, -.81, -7.63
-0.38, -.44, .07, 3.41, .87, -3.35
0.87, -.02, -.62, , .68, -3.22
0.74, -.03, -.16, 1.05, 4.21, -3.2
0.98, .19, 1.44, 1.12, -2.08, -3.48
0.85, .46, .47, .39, -2.39, -2
0.88, .7, .33, 1.8, -1.62, -2.33
0.8, .56, -.08, 1.5, -1.25, -2.24
0.51, .73, -.42, 1.21, -.61, -1.68
0.15, .93, -.6, 1.23, .18, -.79
0.2, .84, -.61, .72, -.06, -.24
0.16, .87, -.52, .44, .08, -.03
0.29, .76, -.51, .43, -.03, -.01
0.25, .81, -.54, .26, -.17, -.1
0.31, .81, -.55, .08, -.22, -.07
0.32, .79, -.53, .13, -.12, -.02
0.29, .79, -.54, .21, , 
0.29, .79, -.57, .13, -.07, .02
0.29, .78, -.58, .09, -.05, -.01
0.27, .77, -.56, .06, , -.02
0.25, .78, -.57, .05, -.19, 
