
-.02, .06, .63, -2.69, -1.74, 2.33
-.02, .06, .63, -2.69, -1.74, 2.33
-.02, .06, .63, -2.75, -3.1, 3.87
.43, -.19, .7, -.51, -.99, 3.25
.78, -.52, .82, -.09, -.66, .54
.52, -.34, 1.04, .36, -1.25, .44
.37, -.26, 1.12, 1.27, -2.77, 1.84
.78, -.28, .95, 2.91, -3.42, 4.33
.78, -.28, .95, 3.11, -3.81, 3.71
1.15, -.2, .28, .82, -2.04, 1.52
1.15, -.2, .28, .59, -1.14, .84
.58, -.34, .16, .12, -2.59, 1.83
.88, -.49, .06, -.76, -.85, 2.68
.83, -.65, .08, -.74, .08, 2.44
.87, -.4, -.18, -.68, .97, 1.4
.39, -.98, .05, -.83, -.63, 2.42
.45, -1.06, -.06, .23, -.57, 1.26
.33, -.9, -.03, -.17, .02, -.13
.33, -.9, -.03, -.39, .03, -.38
.17, -.46, -.02, -.1, -.32, 1.04
.17, -.46, -.02, -.54, -2.42, 1.65
.52, -1.48, -.24, .51, -.87, 1.26
.52, -1.48, -.24, .2, -.31, -.28
.01, -.8, -.1, .04, -.47, -.06
.12, -.99, -.05, , -.11, -.03
.12, -.99, -.05, .04, -.27, -.05
.1, -.98, -.08, .02, -.24, -.05
.1, -.98, -.08, -.05, -.21, -.04
.05, -.99, -.08, -.12, -.06, 
.07, -.98, -.08, .01, , -.02
.13, -.97, -.07, .03, -.04, -.01
.12, -.97, -.09, -.03, -.08, -.03
.09, -.98, -.08, -.01, -.07, -.01
.09, -.98, -.08, .03, -.06, -.02
.08, -.98, -.09, , -.02, -.02
.08, -.98, -.09, -.03, .01, -.01
.09, -.98, -.09, -.03, .03, -.01
.11, -.97, -.09, -.03, .13, .02
.11, -.97, -.09, , .16, 
.11, -.98, -.11, -.01, .22, .02
.11, -.98, -.11, -.03, .17, .02
.13, -.98, -.09, -.03, .12, .03
.13, -.98, -.09, -.08, .12, .01
.16, -.96, -.1, , .07, .01
.16, -.96, -.1, .06, -.11, -.03
.11, -.97, -.1, .05, -.13, -.03
.11, -.97, -.1, .04, -.09, -.01
.14, -.97, -.08, .03, -.18, -.05
.14, -.97, -.08, -.01, -.11, -.04
.07, -.98, -.09, .03, -.03, .02
.1, -.97, -.07, .01, .06, .01
.1, -.98, -.11, -.05, .08, .02
.14, -.97, -.08, .03, -.02, 
.12, -.97, -.1, , -.03, 
.12, -.97, -.1, .01, -.08, -.01
.12, -.97, -.09, .03, -.08, -.01
.1, -.98, -.09, , -.01, 
.11, -.98, -.08, -.01, .03, .01
.11, -.98, -.08, -.02, .08, .02
.11, -.97, -.09, , .08, .02
.13, -.97, -.09, .01, .03, .01
.13, -.97, -.1, .01, -.05, -.01
.12, -.97, -.1, , -.06, -.01
.1, -.98, -.08, -.02, , 
.1, -.98, -.08, -.01, .06, .01
.12, -.97, -.08, , .05, .01
.12, -.97, -.08, , .03, .01
.11, -.98, -.08, .01, .03, .01
.11, -.98, -.08, .01, .04, .01
.11, -.98, -.09, .01, .06, .02
.12, -.97, -.09, .01, .05, .01
.12, -.97, -.09, .01, .03, .01
.11, -.98, -.08, , .04, .01
.11, -.98, -.08, , .04, .01
.12, -.97, -.08, .01, .04, .01
.11, -.98, -.08, , .04, .01
.11, -.98, -.08, , .03, .01
.11, -.98, -.07, .03, -.01, .01
.11, -.98, -.07, .03, -.01, .01
.11, -.98, -.07, , , .02
.11, -.97, -.06, -.04, .04, .03
.11, -.97, -.05, .01, .02, .02
.11, -.97, -.05, .02, .01, .01
.1, -.97, -.06, .01, , 
.1, -.97, -.06, .01, -.02, -.01
.1, -.97, -.08, -.04, -.01, 
.1, -.97, -.08, -.01, -.03, 
.11, -.97, -.06, .03, -.03, 
.09, -.98, -.08, , .02, .01
.11, -.98, -.07, .02, -.01, 
.12, -.97, -.07, .01, -.03, 
.11, -.98, -.08, , -.02, -.01
.11, -.98, -.08, -.02, -.03, 
.11, -.98, -.08, -.01, -.02, 
.11, -.98, -.07, , -.02, 
.11, -.97, -.06, , -.01, 
.08, -.94, -.05, .04, -.04, -.01
.08, -.94, -.05, -.1, -.01, -.12
.04, -1.01, -.21, -.04, -.21, -.06
.14, -.94, -.12, .41, -.49, -.19
.02, -.9, -.12, .15, -.31, -.21
.02, -.9, -.12, .07, -.43, -.14
.25, -.9, -.04, .35, -.6, .07
.41, -1.09, , .79, -.55, -.43
.13, -.85, , .78, .03, -.2
.13, -.85, , .67, .07, -.13
-.03, -.99, -.23, .32, 1.1, .22
.42, -.92, -.1, .06, .99, .3
.58, -1.31, -.27, -1.03, .33, .1
.19, -1.28, -.15, -2.2, .99, -.16
.01, -1.34, -.1, -2.14, .14, -.11
.06, -1.03, .22, -1.83, -2.32, -.05
.1, -.65, -.07, -.92, -1.3, -.19
-.02, -.2, -.07, .52, -.24, -.19
.17, -1.34, -1.21, .21, -1.21, -.85
.17, -1.34, -1.21, -1.02, -1.43, .02
.15, -.75, -.15, .19, .19, 1.49
.15, -.75, -.15, 1.55, 2.4, -.52
.01, -.66, -.29, 1.56, 1.46, -.34
.01, -.66, -.29, 1.59, 2.07, -.18
.05, -.57, .11, 1.58, -.09, -.03
.21, -.76, -.19, .91, .47, .5
.1, -.98, -.22, .42, .71, .49
.5, -1.23, -.02, -.53, .58, .06
.07, -1.51, .05, -2.02, -.4, -.31
.08, -1.15, -.17, -2.64, -.44, -.5
.08, -1.15, -.17, -1.64, -1.73, -.13
.07, -.24, -.01, -1.2, -2.58, -.34
.07, -.24, -.01, .55, -.51, -.66
.07, -.66, -.41, -.11, -.96, -.77
-.05, -1.37, -1.32, -1.21, -1.35, .21
.69, -1.15, .1, .66, -.81, 1.15
.69, -1.15, .1, 2.64, 4.34, -1.3
-.62, -.47, -.36, -.9, -1.62, .29
-.62, -.47, -.36, -3.21, .95, .39
-.1, .18, .2, -2.54, .63, -.07
-.1, .18, .2, -3.8, -1.46, 1.01
.2, .06, -.08, -3.01, .07, .2
.39, .27, .13, -6.16, -1.22, .09
-.76, -.77, -1.58, -5.51, 1.31, .58
-.07, .89, -1.52, -5.19, .37, .24
-.07, .89, -1.52, -3.2, -.19, .63
-.19, -.42, -.99, -1.35, .43, .94
-.19, -.42, -.99, -1.09, 2.3, .42
.37, 1.46, .11, -.68, 1.51, .37
.39, 1.07, .3, .54, -.45, .2
.09, .73, .18, -3.3, .83, .4
.09, .73, .18, -.33, -.18, .24
.2, .61, .18, -.43, .29, .1
.2, .61, .18, .04, .03, .51
.45, .86, .13, .72, -.34, .53
.45, .86, .13, 1.48, -.41, .54
.71, .59, -.56, 1.75, -.02, 1.08
.71, .59, -.56, 1.93, -.29, -.09
.57, .82, .01, 2.37, -.57, -.76
.27, .51, -.43, 2.76, -.41, -.32
.27, .51, -.43, 3.74, -.35, .08
.42, .18, -1.24, 1.92, -.08, .36
.23, .06, -.51, 3.89, .04, .2
.32, .14, -1.25, 1.36, 1.22, -.61
1.03, -.61, -1.58, -.47, -.17, -.88
.51, -.03, -.99, -.84, .34, 
.17, .25, -.23, 1.41, -1.51, .77
.81, -.11, -1.21, -.64, -.26, -.66
.09, -.19, -.85, .17, -.61, 
.17, -.01, -.86, .12, -.19, -.01
.17, -.01, -.86, .15, .15, -.03
.18, -.09, -1.13, -.3, .42, .22
.18, -.09, -1.13, .13, .19, -.02
.43, -.04, -.97, -.06, .06, .04
.43, -.04, -.97, -.08, .03, -.02
.42, .02, -.85, .06, -.09, 
.4, , -.97, -.02, -.11, 
.36, , -.94, -.02, -.01, .02
.37, .01, -.91, .02, , .01
