AX,AY,AZ,GX,GY,GZ
-0.1, -.94, -.28, -.77, 1, .96
0.24, -.78, -.41, -.37, .62, .83
0.01, -.74, -.47, , .76, .68
-0.01, -.71, -.56, -.11, .81, .71
-0.18, -.76, -.42, .33, .98, .46
-0.15, -.91, -.45, .62, .31, .48
0.15, -.99, -.79, .5, -.07, -.15
-0.22, -1.41, -.3, .69, .63, -.32
-0.24, -.41, .02, 1.42, 1.26, .45
0.22, -1.27, -.18, .6, 1.29, -.57
0.03, -.83, -.04, .62, .49, -.27
0.13, -.89, -.2, .66, .41, -.32
0.07, -.87, -.1, .87, -.01, -.01
0.01, -.87, -.07, .76, .27, .23
0.13, -1.03, -.12, .4, .37, .31
0.24, -1.29, -.18, -.43, .49, -.03
0.27, -1.24, -.05, -2.22, .06, -.25
-0.19, -.98, -.08, -2.39, .51, -.3
-0.12, -1.32, .23, -1.3, -3.05, -.23
0.19, -.66, -.23, -.89, -.85, -.24
-0.23, -.61, -.2, .11, -.01, -.1
0.01, -.62, -.25, .62, .2, -.17
0.01, -.62, -.25, .09, .6, -.44
-0.1, -1.3, -.99, .18, -1.5, .09
-0.25, -1.34, .2, .76, .6, .55
0.15, -.7, -.12, 1.82, 1.21, .32
0.26, -1.15, -.14, .17, 1.04, -.82
-0.08, -.68, .03, .89, .15, .18
0.19, -.99, .02, 1.09, .21, -.09
-0.09, -.85, -.13, .74, .4, .39
0.19, -1.01, -.13, .34, .67, .15
0.1, -1.1, -.08, -.31, .77, .17
0.09, -1.27, -.21, -2.03, .55, -.07
-0.16, -1.03, -.05, -2.53, .58, .23
-0.03, -1.31, .14, -1.27, -2.06, -.09
0.24, -.7, -.16, -.99, -1.03, -.21
-0.2, -.69, -.09, .3, -.42, -.36
-0.04, -.71, -.3, .63, .08, -.46
-0.02, -.87, -.31, .53, .4, -.54
-0.13, -1.16, -.74, .01, -.74, .08
-0.19, -1.43, -.24, .14, .13, .54
0.15, -.58, .08, .87, -.7, .23
0.28, -1.3, -.22, .22, 1.24, -.51
-0.42, -.7, .03, .75, .32, .22
0.11, -1, .05, 1.04, .15, -.01
0.03, -.92, -.22, .55, -.11, .21
0.06, -.92, -.36, .09, .18, .19
0.06, -.89, -.1, .12, .14, -.12
0.17, -1.36, .05, -.54, .37, -.41
-0.36, -1.01, .06, -1.52, -.1, .65
-0.19, -.91, -.05, -.88, -.71, .75
0.06, -1.14, -.01, -.47, -.19, .3
-0.07, -.92, -.19, -.36, -.01, -.13
-0.17, -.72, -.1, 1.13, .01, -.1
0.02, -.88, -.23, 1.03, .55, -.35
-0.25, -1.29, -.43, -.24, .54, -.03
-0.11, -.7, , .4, -.09, -.13
0.08, -1.09, -.07, .33, -.23, -.14
-0.2, -.93, -.08, .19, -.02, -.02
-0.02, -.99, -.07, .13, .06, -.05
-0.04, -.97, -.08, .09, .01, -.05
0.01, -.99, -.07, .06, -.15, -.06
0.01, -.99, -.07, .04, -.22, -.07
-0.02, -.99, -.05, , -.18, -.04
-0.02, -.99, -.05, -.02, -.21, -.04
-0.04, -.98, -.06, -.05, -.13, -.03
-0.05, -.98, -.08, -.06, , -.01
-0.02, -.98, -.1, -.02, .06, 
-0.02, -.98, -.1, -.02, .12, .01
-0.03, -.98, -.11, -.03, .18, .03
-0.01, -.97, -.1, -.02, .12, .02
-0.01, -.97, -.11, -.03, .04, 
-0.03, -.97, -.12, -.01, .05, .02
-0.03, -.97, -.1, .03, .05, .03
-0.03, -.97, -.11, .02, .05, .03
-0.02, -.98, -.11, , .03, .01
-0.02, -.97, -.1, , -.01, 
-0.04, -.98, -.1, -.02, , 
-0.02, -.98, -.1, -.01, -.05, -.01
-0.02, -.98, -.1, -.02, -.08, -.01
-0.03, -.98, -.1, -.03, -.03, -.01
-0.04, -.98, -.1, -.02, .04, 
-0.05, -.97, -.11, -.02, .07, .01
-0.02, -.97, -.12, -.02, .02, 
-0.02, -.97, -.12, -.01, , 
-0.03, -.97, -.11, -.01, .03, 
-0.03, -.97, -.12, -.01, .05, .01
-0.02, -.97, -.12, , .03, 
-0.02, -.97, -.12, , , 
-0.03, -.97, -.11, , , 
-0.04, -.98, -.12, -.02, .03, 
-0.03, -.97, -.12, -.02, .03, 
-0.03, -.97, -.12, , -.01, 
-0.02, -.98, -.11, , -.03, -.01
-0.03, -.97, -.12, , -.02, 
-0.03, -.97, -.12, , , 
-0.03, -.97, -.12, , .02, .01
-0.03, -.97, -.12, , .01, .01
-0.02, -.97, -.12, , -.01, 
-0.03, -.97, -.12, , -.01, 
-0.03, -.97, -.12, , .01, .01
-0.03, -.97, -.12, , .03, .01
-0.03, -.97, -.12, , .01, .01
-0.03, -.97, -.12, , -.01, 
-0.03, -.97, -.12, , -.01, 
-0.03, -.97, -.12, , -.01, 
-0.03, -.98, -.12, -.01, .01, 
-0.03, -.97, -.11, , -.03, 
-0.02, -.98, -.12, .01, -.05, -.01
-0.04, -.97, -.12, .01, -.06, .01
-0.03, -.97, -.13, .02, -.04, -.01
-0.06, -.97, -.12, -.02, .06, .01
-0.04, -.98, -.1, -.01, .05, 
-0.05, -.98, -.12, , .09, .01
-0.06, -.97, -.12, -.04, .13, .03
0.01, -.96, -.13, -.01, .17, .07
-0.01, -.97, -.14, .04, .13, .04
-0.04, -.99, -.1, -.03, -.05, .05
-0.06, -.93, -.13, .08, .25, .09
-0.08, -.99, -.12, -.03, .03, .17
-0.1, -.96, .09, .44, -1.54, .17
0.04, -1.15, -.62, .36, 1.6, -.77
-0.15, -1.05, .18, .2, .42, -1.36
-0.13, -1.37, .11, .01, -1.05, -.8
0.38, -1.29, -.31, .39, .53, -1.38
0.12, -1.1, .11, 1.04, -.06, -.04
0.05, -.8, .12, 2.21, 1.15, 1.37
0.22, -1.15, -.1, 3.5, 4.03, 1.82
0.61, -1.23, .54, 3.05, .86, -1.11
0.72, -.87, .53, 2.66, , -4.19
0.27, -.65, .68, 2.66, .36, -5.33
-0.17, -.34, .69, 2.77, .81, -4.67
-0.16, -.15, .37, 1.78, 2.28, -3.78
-0.11, -.11, .06, .7, 3.19, -3.87
0.38, -.33, 1.54, .02, -.64, -2.51
-0.02, .04, 1.06, -.11, -.59, -.98
0.04, .04, 1.24, .33, -1.42, -.67
0.1, .05, 1.05, .27, -.68, -.31
0.2, .18, .9, .06, -.3, -.05
0.24, .17, .96, .09, -.29, -.11
0.24, .18, .99, .1, .02, -.13
