AX,AY,AZ,GX,GY,GZ
0.19, .4, .79, -.12, .53, -.28
0.02, .38, .79, -.3, .23, .21
-0.03, .31, .84, -.02, -1.35, .57
0.24, .31, .81, -.31, -1.6, .13
0.37, .3, .73, -1.09, -.27, -.29
0.19, .2, .97, -.65, -1.61, -.11
0.19, .08, .68, -.98, -2.44, .58
0.42, -.03, .77, -1.11, -1.85, 1.21
0.61, -.04, .94, -.82, -1.79, 1.51
0.67, -.15, 1.06, .38, -3.02, 2.14
0.75, -.34, .91, 1.65, -2.86, 2.74
1.37, -.24, .39, .65, -.14, 1.35
1.5, -.03, .3, -.17, 1.15, -.2
1.05, .1, .25, -.37, .49, -.35
0.7, -.25, .37, -.03, .27, .36
0.82, -.58, .4, -.03, 1.16, 1
0.94, -.62, .76, .65, 1.73, 1.24
0.63, -.54, 1.15, 1.51, .66, 1.6
0.75, , .33, .92, -3.26, 1.09
0.31, -.1, .63, 1.62, -4.97, 1.71
0.74, -.38, .32, .73, -3.05, 2.2
0.89, -.78, .11, -.27, -1.05, 1.71
0.78, -.69, .19, -.42, -.39, .83
0.51, -.54, .07, .07, -.3, 1.49
0.74, -.54, .23, .28, -.51, 1.85
0.63, -.55, -.02, -.1, .5, .92
0.64, -.97, .23, .01, .79, -.29
0.49, -1.32, .03, -.86, -.48, -.16
0.33, -.68, .11, -.37, -.34, 1.8
0.51, -.85, .04, -.33, .16, 1.09
0.35, -1.09, .09, .04, -.09, -.32
0.29, -.45, .05, -.38, -.62, .59
0.09, -.6, -.07, -.8, -2.39, 1.17
-0.02, -1.23, .03, .14, -1.83, 1.65
0.54, -1.74, -.35, .24, .23, -.27
0.08, -.87, -.08, -.02, .04, 
0.16, -.98, -.11, , -.12, -.01
0.17, -.97, -.06, -.03, -.16, -.04
0.11, -.98, -.08, .03, -.07, -.01
0.08, -.97, -.08, -.05, .11, 
0.11, -.98, -.1, -.05, .13, .01
0.16, -.98, -.09, , .01, 
0.13, -.96, -.1, .02, -.11, -.01
0.15, -.97, -.09, .04, -.14, -.01
0.15, -.97, -.08, .05, -.1, -.02
0.12, -.98, -.08, .01, -.04, 
0.14, -.97, -.08, .01, -.05, 
0.16, -.97, -.09, , -.08, -.01
0.14, -.97, -.1, -.02, -.06, -.01
0.11, -.98, -.09, -.02, .01, 
0.1, -.97, -.09, -.03, .1, .01
0.13, -.97, -.1, -.04, .08, 
0.15, -.97, -.1, -.02, .03, -.01
0.14, -.97, -.1, -.01, .01, -.01
0.14, -.97, -.1, -.01, .03, 
0.14, -.97, -.1, -.01, .04, 
0.14, -.97, -.1, -.01, .03, 
0.15, -.97, -.1, , .01, 
0.15, -.97, -.1, -.01, , 
0.14, -.97, -.1, -.01, , 
0.14, -.97, -.1, -.01, , 
0.14, -.97, -.1, -.01, -.01, -.01
0.14, -.97, -.1, -.01, -.02, -.01
0.14, -.97, -.1, -.01, -.03, -.01
0.14, -.97, -.1, , -.03, -.01
0.14, -.97, -.1, , -.01, -.01
0.14, -.97, -.11, , , 
0.14, -.97, -.1, , .02, 
0.13, -.97, -.1, -.01, .05, 
0.14, -.97, -.1, , .04, 
0.15, -.97, -.11, , .01, -.01
0.14, -.97, -.11, .01, , -.01
0.14, -.97, -.11, .01, .01, -.01
0.14, -.97, -.11, .01, , -.01
0.15, -.97, -.1, .01, -.02, -.01
0.15, -.97, -.11, .01, -.03, -.01
0.15, -.97, -.1, .01, -.03, -.01
0.15, -.97, -.1, .01, -.03, -.01
0.15, -.97, -.1, .01, -.03, -.01
0.15, -.97, -.1, .01, -.03, -.01
0.15, -.97, -.1, .01, -.03, -.01
0.15, -.97, -.1, .01, -.03, -.01
0.15, -.97, -.1, .01, -.04, -.01
0.15, -.97, -.1, .02, -.04, -.01
0.16, -.97, -.1, .02, -.04, -.02
0.14, -.97, -.1, .01, -.04, -.01
0.15, -.97, -.1, .02, -.04, -.02
0.14, -.97, -.1, .02, -.03, -.02
0.15, -.97, -.09, .01, -.02, -.02
0.15, -.96, -.1, -.07, -.07, -.03
0.16, -.95, -.15, -.12, -.27, -.05
0.22, -.95, -.15, , -.4, -.16
0.16, -.96, -.16, .04, -.36, -.19
0.13, -.96, -.16, .07, -.21, -.21
0.17, -.98, -.1, .2, -.2, -.22
0.16, -.98, -.06, .24, -.08, -.22
0.15, -.96, -.03, .23, .01, -.09
0.25, -.96, -.06, .26, .13, -.08
0.24, -.95, -.12, .26, .32, -.04
0.27, -.92, -.08, .38, .32, .01
0.25, -.92, -.09, .39, .3, .03
0.25, -.93, -.11, .3, .39, .05
0.25, -.93, -.07, .33, .48, .14
0.22, -.97, -.04, .35, .61, .25
0.35, -1.02, -.05, .21, .61, .28
0.35, -1.08, -.16, -.22, .25, .16
0.41, -1.11, -.09, -1.24, -.23, .13
0.12, -1.02, -.11, -2.12, .62, -.14
0.11, -1.24, .13, -1.58, -1.72, -.43
0.15, -.85, -.08, -1.33, -1.81, -.05
0.05, -.91, -.21, -.79, -.62, -.14
0.04, -.75, -.24, -.21, -.35, -.02
0.11, -.63, -.28, .47, -.13, -.16
0.13, -.76, -.39, .56, -.17, -.42
0.16, -1.18, -.75, -.04, -.36, -.22
-0.15, -1.03, -.46, .56, .74, .55
-0.03, -1.19, -.07, .29, , .52
0.25, -.6, .29, 1.33, .83, .21
0.37, -1.23, -.53, .53, 1.73, -.53
-0.02, -.75, .01, .59, .63, 
0.29, -.93, -.14, .85, .26, -.09
0.19, -.82, -.11, .93, .01, .22
0.14, -.95, -.22, .33, .69, .31
0.28, -1.09, , .09, .52, .22
0.24, -1.23, -.27, -1.16, .03, .11
0.34, -1.07, .04, -2.48, -.38, -.15
-0.14, -1.42, .03, -1.78, -2.03, -.33
0.25, -.75, -.04, -1.46, -2.18, -.34
-0.08, -.71, -.2, -.4, -.64, .05
0.04, -.58, -.18, .42, .1, -.09
, -.68, -.49, .8, -.26, -.51
0.2, -1.04, -.74, .26, -.01, -.63
-0.17, -1.01, -.56, .52, .58, .51
-0.26, -1.68, .1, -.05, -1.13, .6
0.46, -.35, .14, 2.11, 2.45, .26
0.42, -1.34, -.34, .44, 1.06, -.82
-0.31, -.66, -.12, .59, .84, .18
0.43, -.99, .06, 1.14, -.17, -.13
0.02, -.84, -.15, .71, .28, .36
0.14, -.96, -.22, .18, 1, .26
0.36, -1.06, -.07, -.55, .33, .02
0.27, -1.42, .02, -2.33, -.03, -.41
-0.55, -1.11, -.26, -2.67, 1.43, .12
0.1, -1.31, .34, -1.35, -1.84, -.31
0.13, -.58, -.18, -.44, .24, .05
-0.18, -.59, -.09, 1.01, 1.96, .27
-0.09, -.59, -.06, 1.16, 3.64, .51
0.4, -1.55, -.7, -.45, .72, -.47
0.12, -.99, .22, -.21, 1.21, 1.68
-0.37, -1.2, -.4, .16, 3.84, .4
0.13, -1.05, .38, -.12, 3.03, .58
0.01, -.95, -.12, -.27, 3.61, .44
0.25, -1, .03, -.2, 3.44, .7
0.2, -.95, -.01, .25, 3.23, 1.1
0.15, -.92, -.15, -.28, 3.04, 1.28
0.42, -.95, -.14, -.32, 2.3, .02
0.36, -.94, -.27, -.7, 1.47, .26
-0.05, -.89, -.29, -1.11, 1.43, .44
-0.11, -1.28, -.16, -1.47, 1.31, .67
