
-.11, .38, .87, .17, 2.01, .09
-.11, .38, .87, .17, 2.01, .09
-.26, .33, .96, .92, 1.69, .26
-.48, .59, .88, .76, 1.99, 1.75
-.39, .37, .74, -.93, 2.13, 2.07
-.36, .26, .92, -1.16, 1.49, 1.32
-.41, .25, 1.09, .68, 1.24, .91
-.28, .27, .99, 3.14, -.08, .41
-.37, .49, .3, 1.03, .9, -.27
-.66, .72, .47, -.75, .83, -.44
-.4, .6, .6, -1, .29, -.84
-.45, .57, .68, -.5, -.13, -.31
-.36, .48, .48, -1.26, .86, -2.1
-.78, .17, .7, -2.47, .27, -1.67
-.88, -.3, 1.14, -1.13, .58, -1.42
-.95, -.14, .66, -.19, .73, -1.03
-1, -.01, .46, -.04, -.24, -.59
-.78, -.04, .52, -.57, -1.55, -1.25
-.85, -.19, .46, -.76, -.38, -1.83
-.98, .05, -.01, -2.53, .04, -1.06
-.68, -.26, .15, -3.47, .79, -1.03
-.78, -.52, .65, -2.33, .39, -.58
-.92, -.29, 1.35, .95, .76, .41
-.53, -.19, .42, .37, .7, .16
-.62, -.19, .13, -.42, -.18, -.2
-.86, -.52, .26, -.57, -.07, .6
-.6, -.95, .22, -.62, -.84, .53
-1.17, -1.16, .12, -1.58, -.44, .78
-.7, -.75, .46, -.85, -.44, .28
-.76, -.47, .25, .05, 1.67, 1.38
-.79, -.53, .22, .01, .77, 1.39
-.91, -.52, .06, -.13, -.08, -.04
-.84, -.45, .13, .07, .12, .02
-.89, -.4, .12, .16, .06, .01
-.89, -.35, .09, -.06, .09, .15
-.86, -.43, .08, .01, .22, .2
-.82, -.49, .1, .29, .16, .04
-.97, -.35, .14, .35, .32, -.03
-.96, -.27, .05, -.1, -.11, .03
-.9, -.34, -.01, -.78, -.1, .16
-.91, -.38, .09, -.72, -.14, .13
-.9, -.41, .11, -.15, -.04, .09
-.87, -.44, .07, .31, .07, .02
-.91, -.36, .05, .35, .07, .01
-.93, -.29, .01, -.03, .04, .07
-.92, -.32, .03, -.33, .02, .03
-.91, -.34, .07, -.13, .06, 
-.88, -.33, .11, .44, .23, .03
-.88, -.32, .04, .77, .29, -.03
-.96, -.31, .01, .68, .12, -.07
-.85, -.3, .17, 1.13, -.62, -.15
-1.04, -.28, .34, 1.07, .19, .18
-.96, -.32, .21, .34, , -.11
-.82, -.32, .19, -.17, -.18, -.24
-.85, -.32, .23, -.07, -.05, -.24
-.86, -.38, .23, .05, -.06, -.25
-.92, -.65, .04, -.37, 1.09, -.52
-.97, -.73, -.19, -.54, .59, -.75
-.76, -.32, -.06, -.38, -.28, -.44
-.76, -.32, -.06, -.32, -.17, .1
-.94, -.38, , -.55, .32, .44
-.92, -.82, -.01, -.61, -.36, -.07
-.78, -.48, -.08, -.2, .07, .09
-.82, -.44, -.08, -.13, .03, .2
-.9, -.52, -.03, -.21, -.08, .11
-.88, -.42, , .1, .04, .2
-.86, -.45, -.07, -.09, -.02, .16
-.89, -.42, , -.07, -.05, .11
-.88, -.41, -.04, -.05, -.04, .09
-.86, -.45, -.07, -.08, -.01, .01
-.88, -.41, -.02, .04, .01, 
-.89, -.4, -.04, .03, -.02, -.02
-.91, -.4, -.07, -.11, -.01, 
-.87, -.43, -.03, -.01, .01, .01
-.89, -.41, -.01, .1, , .02
-.89, -.42, -.05, .01, -.01, .01
-.89, -.42, -.04, .02, , .01
-.88, -.44, -.03, .07, -.01, -.02
-.88, -.42, -.04, .09, -.02, 
-.9, -.38, -.03, .13, .02, .06
-.89, -.4, -.04, -.01, .02, .05
-.88, -.43, -.02, -.03, .01, .02
-.89, -.42, .03, .15, -.01, .02
-.9, -.37, -.02, .04, -.01, .03
-.89, -.4, -.05, -.19, , .02
-.9, -.41, .01, -.08, -.04, .03
-.9, -.41, , , -.07, .05
-.9, -.39, -.02, -.07, -.09, .06
-.89, -.39, -.03, -.12, -.08, .04
-.89, -.4, -.03, -.14, -.04, .02
-.89, -.4, -.01, -.06, -.02, .02
-.9, -.4, , .02, , .01
-.9, -.39, -.02, , , 
-.89, -.38, -.02, -.03, , -.02
-.9, -.41, -.04, -.07, .01, -.04
-.91, -.39, -.04, -.04, .04, .02
-.9, -.41, .01, .11, .04, .03
-.92, -.39, -.01, .11, .02, .05
-.9, -.37, -.03, .01, .01, .06
-.91, -.37, -.01, -.02, -.01, .08
-.91, -.37, -.03, -.06, , .07
-.87, -.4, -.04, -.02, .04, .04
-.93, -.35, .01, .03, , .06
-.92, -.36, -.02, -.06, -.04, .03
-.9, -.36, -.03, -.12, -.03, .01
-.9, -.38, -.01, -.01, -.01, .01
-.91, -.37, -.02, .03, .01, .01
-.92, -.36, -.03, , -.01, 
-.9, -.38, -.02, .02, -.01, -.02
-.93, -.36, -.01, .03, -.03, 
-.92, -.34, -.02, -.05, -.04, .02
-.91, -.36, -.04, -.19, -.04, .01
-.91, -.35, -.03, -.25, -.01, .01
-.92, -.37, -.02, -.31, .07, -.02
-.88, -.39, .06, -.1, .19, -.05
-.87, -.4, .1, .28, .23, -.09
-.86, -.4, .09, .6, .47, -.01
-.93, -.28, , .63, .41, .15
-.93, -.26, -.07, .55, .24, .08
-1.08, -.26, -.13, .03, .1, .05
-.9, -.23, -.12, -.77, .13, .01
-.87, -.26, -.07, -1.21, .16, .03
-.94, -.28, -.02, -1.39, .18, -.05
-.93, -.33, .05, -.93, .12, -.26
-1.07, -.41, .24, .62, .17, -.21
-1.39, -.27, .02, .32, -.89, -.27
-.98, -.24, -.05, .31, -.63, .41
-1.09, -.53, -.28, 1.61, 1.16, .88
-.73, -.68, -.11, 2.06, -2.43, .14
-.4, -.4, -.21, 1.41, -.16, .07
-.56, -.36, -.17, .72, 1.33, .16
-.79, -.29, -.02, .85, -.65, -.05
-1.34, -.07, .56, 2.01, -.29, .1
-1.38, -.13, .2, -.04, 1.03, -.02
-1.08, -.43, -.14, -.69, .04, -.29
-.89, -.41, -.23, -.03, .24, .03
-.65, -.38, -.21, -.8, -.5, -.36
-.68, -.29, -.13, -2.44, .27, -.41
-.79, -.37, .03, -2.33, .4, -.84
-1.01, -.24, .08, -2.47, , -.5
-1.11, -.2, .36, -1.13, .08, .37
-1.3, -.13, .21, .16, -1.59, .77
-1.22, -.34, -.14, 2.29, .15, 1.45
-1.06, -.94, -.18, 1.68, -2.85, .04
-.55, -.43, -.14, 1.41, .41, .22
-.49, -.37, -.08, 1.41, 1.01, -.03
-.63, -.35, -.12, 1.13, 1.26, -.29
-1.04, -.2, .26, 2.13, -1.06, -.13
-1.44, .09, .49, 2.74, 1.69, .11
-.99, -.24, -.08, 1.07, 1.18, .04
-1.07, -.37, -.24, .18, .41, .15
-1.13, -.4, -.29, -.77, -.53, -.36
-.69, -.21, -.16, -1.06, -.47, -.51
-.66, -.21, -.15, -1.39, .09, -.52
-.81, -.29, -.12, -1.31, .13, -.69
-.97, -.27, -.11, -1.01, .12, -.55
-1.31, -.16, .03, 1.16, -1.27, -.05
-1.28, -.06, .75, 3.63, .37, .17
-.94, -.44, .01, 2.35, 1.18, .9
-.89, -.51, -.07, .78, .97, .61
-.7, -.46, -.18, -.74, .22, .12
-.89, -.22, -.29, -1.55, .31, -.2
-.86, -.29, , -2.13, -1.48, -1.19
-.93, -.36, .04, -.88, -1.43, -1.23
-.93, -.36, .04, .23, 1.14, .53
-.96, -.58, .17, .98, .54, .01
-.76, -.37, -.08, .51, .57, -.07
-.77, -.3, -.19, -.19, -1.4, .19
-1.13, -.36, -.43, .51, 1.28, -.39
-.87, -.58, .13, -.67, -.82, -1.77
-.87, -.58, .13, -1, -2.49, -1.73
-.88, -.32, -.06, -.29, .92, -.42
-.88, -.32, -.06, .45, 1.49, .72
-.84, -.38, -.17, .25, .52, .69
-.65, -1.07, .08, -2.18, -.92, -1.55
-.75, -1.18, .06, -3.71, -3.69, -2.28
-.58, -1.2, .53, -2.87, -2.7, -2.92
-.74, -1.15, .11, -2.92, -2.45, -2.98
-.71, -1.15, .18, -1.68, -1.42, -2.79
-.71, -.96, .1, -.29, -.07, -1.87
-.57, -.66, .29, 1.25, -.93, -1.03
-.35, -.37, .29, 1.28, -4.95, -.95
-.36, -.58, .79, 5.31, -2.33, -1.05
-.82, -1.06, .6, 6.88, -.39, 1.47
-.29, -1.17, .45, 5.39, -.53, 1.56
-.11, -.83, .78, 4.56, -.33, -.02
-.13, -.42, .93, 3.51, .67, -.37
.44, -.06, .99, 2.57, 1, -1.65
-.07, , 1.26, 1.84, -1.61, -.54
.29, .43, .86, .23, -4.04, -2.28
-.07, .44, .65, -.35, -.58, -.57
.38, .22, .86, -1.43, -1.97, -2.33
-.02, .39, .7, -1.31, .57, -.04
.18, .18, .78, -.02, 1.88, -.49
.02, .1, .02, .15, 5.72, -.84
-.05, .01, , .52, 5.68, -.78
-.04, .02, .01, .82, 5.43, -.63
-.03, .02, , 1.05, 5.25, -.41
-.03, .02, -.02, 1.22, 5.41, -.14
-.03, .03, -.1, 2.15, 12.53, -2.38
-1.45, -.53, -.92, -4.35, -22.18, 6.99
-1.03, -.93, -.07, 8.62, -17.17, 4.59
-.95, -1.37, -.1, 10.17, -16.35, -2.97
-1.04, -1.08, -.08, 3.09, -18.67, -8.81
-1, .22, -1.05, -5.64, -5.34, -4.29
.03, -1.19, 1.77, 1.94, -6.23, -3.18
-.05, .03, -.45, -2.97, 1.6, -1.72
-.48, -.24, .73, -.22, .88, -.13
.01, .03, .67, -.66, .46, .08
.03, .04, .6, -.02, -.01, 
.01, , 1.08, , , 
.01, .01, 1.01, , , 
.01, .01, 1.01, , , 
.01, .01, 1, , , 
.01, .01, 1.01, , , 
.01, .01, 1.01, , , 
.01, .01, 1.01, , , 
.01, .01, 1, , , 
.01, .01, 1, , , 
.01, .01, 1, , , 
.01, .01, 1, , , 
.01, .01, 1, , , 
.01, .01, 1.01, , , 
.01, .01, 1, , , 
.01, .01, 1, , , 
.01, .01, 1, , , 
.01, .01, 1, , , 
.01, .01, 1, , , 
.01, .01, 1, , , 
.01, .01, 1, , , 
.01, .01, 1, , , 
.01, .01, 1, , , 
.01, .01, 1, , , 
.01, .01, 1, , , 
.01, .01, 1, , , 
.01, .01, 1, , , 
.01, .01, 1, , , 
.01, .01, 1, , , 
.01, .01, 1, , , 
.01, .01, 1, , , 
.01, .01, 1, , , 
.01, .01, 1, , , 
.01, .01, 1, , , 
.01, .01, 1, , , 
.01, .01, 1, , , 
.01, .01, 1, , , 
.01, .01, 1, , , 
.01, .01, 1, , , 
.01, .01, 1, , , 
.01, .01, 1, , , 
.01, .01, 1, , , 
.01, .01, 1, , , 
.01, .01, 1, , , 
.01, .01, 1, , , 
.01, .01, 1, , , 
.01, .01, 1, , , 
.01, .01, 1, , , 
.01, .01, 1, , , 
.01, .01, 1, , , 
.01, .01, 1.01, , , 
.01, .01, 1, , , 
.01, .01, 1, , , 
.01, .01, 1, , , 
.01, .01, 1.01, , , 
.01, .01, 1, , , 
.01, .01, 1.01, , , 
.01, .01, 1.01, , , 
.01, .01, 1.01, , , 
.01, .01, 1.01, , , 
.01, .01, 1, , , 
.01, .01, 1, , , 
.01, .01, 1.01, , , 
.01, .01, 1, , , 
.01, .01, 1, , , 
.01, .01, 1.01, , , 
.01, .01, 1.01, , , 
.01, .01, 1, , , 
.01, .01, 1, , , 
.01, .01, 1.01, , , 
.01, .01, 1, , , 
.01, .01, 1.01, , , 
.01, .01, 1, , , 
.01, .01, 1, , , 
.01, .01, 1.01, , , 
.01, .01, 1, , , 
.01, .01, 1.01, , , 
.01, .01, 1, , , 
.01, .01, 1.01, , -.01, 
.01, .01, 1, , , 
.01, .01, 1, , , 
.01, .01, 1.01, , , 
.01, , 1, , , 
.01, .01, 1.01, , , 
.01, , 1, , , 
, .01, 1.01, , -.01, 
.03, , .99, , -.01, 
, .01, 1.02, , , 
.01, .01, 1, -.02, -.05, 
.01, , 1.01, .01, .04, 
